trade_date,is_open,evidence
2026-09-22,1,szse_official_month_api
2026-09-23,1,szse_official_month_api
2026-09-24,1,szse_official_month_api
2026-09-25,0,szse_official_month_api
2026-09-26,0,szse_official_month_api
2026-09-27,0,szse_official_month_api
2026-09-28,1,szse_official_month_api
2026-09-29,1,szse_official_month_api
2026-09-30,1,szse_official_month_api
2026-10-01,0,szse_official_month_api
2026-10-02,0,szse_official_month_api
2026-10-03,0,szse_official_month_api
2026-10-04,0,szse_official_month_api
2026-10-05,0,szse_official_month_api
2026-10-06,0,szse_official_month_api
2026-10-07,0,szse_official_month_api
2026-10-08,1,szse_official_month_api
2026-10-09,1,szse_official_month_api
2026-10-10,0,szse_official_month_api
2026-10-11,0,szse_official_month_api
2026-10-12,1,szse_official_month_api
2026-10-13,1,szse_official_month_api
2026-10-14,1,szse_official_month_api
2026-10-15,1,szse_official_month_api
2026-10-16,1,szse_official_month_api
2026-10-17,0,szse_official_month_api
2026-10-18,0,szse_official_month_api
2026-10-19,1,szse_official_month_api
2026-10-20,1,szse_official_month_api
2026-10-21,1,szse_official_month_api
2026-10-22,1,szse_official_month_api
2026-10-23,1,szse_official_month_api
2026-10-24,0,szse_official_month_api
2026-10-25,0,szse_official_month_api
2026-10-26,1,szse_official_month_api
2026-10-27,1,szse_official_month_api
2026-10-28,1,szse_official_month_api
2026-10-29,1,szse_official_month_api
2026-10-30,1,szse_official_month_api
2026-10-31,0,szse_official_month_api
2026-11-01,0,szse_official_month_api
2026-11-02,1,szse_official_month_api
2026-11-03,1,szse_official_month_api
2026-11-04,1,szse_official_month_api
2026-11-05,1,szse_official_month_api
2026-11-06,1,szse_official_month_api
2026-11-07,0,szse_official_month_api
2026-11-08,0,szse_official_month_api
2026-11-09,1,szse_official_month_api
2026-11-10,1,szse_official_month_api
2026-11-11,1,szse_official_month_api
2026-11-12,1,szse_official_month_api
2026-11-13,1,szse_official_month_api
2026-11-14,0,szse_official_month_api
2026-11-15,0,szse_official_month_api
2026-11-16,1,szse_official_month_api
2026-11-17,1,szse_official_month_api
2026-11-18,1,szse_official_month_api
2026-11-19,1,szse_official_month_api
2026-11-20,1,szse_official_month_api
2026-11-21,0,szse_official_month_api
2026-11-22,0,szse_official_month_api
2026-11-23,1,szse_official_month_api
2026-11-24,1,szse_official_month_api
2026-11-25,1,szse_official_month_api
2026-11-26,1,szse_official_month_api
2026-11-27,1,szse_official_month_api
2026-11-28,0,szse_official_month_api
2026-11-29,0,szse_official_month_api
2026-11-30,1,szse_official_month_api
2026-12-01,1,szse_official_month_api
2026-12-02,1,szse_official_month_api
2026-12-03,1,szse_official_month_api
2026-12-04,1,szse_official_month_api
2026-12-05,0,szse_official_month_api
2026-12-06,0,szse_official_month_api
2026-12-07,1,szse_official_month_api
2026-12-08,1,szse_official_month_api
2026-12-09,1,szse_official_month_api
2026-12-10,1,szse_official_month_api
2026-12-11,1,szse_official_month_api
2026-12-12,0,szse_official_month_api
2026-12-13,0,szse_official_month_api
2026-12-14,1,szse_official_month_api
2026-12-15,1,szse_official_month_api
2026-12-16,1,szse_official_month_api
2026-12-17,1,szse_official_month_api
2026-12-18,1,szse_official_month_api
2026-12-19,0,szse_official_month_api
2026-12-20,0,szse_official_month_api
2026-12-21,1,szse_official_month_api
2026-12-22,1,szse_official_month_api
2026-12-23,1,szse_official_month_api
2026-12-24,1,szse_official_month_api
2026-12-25,1,szse_official_month_api
2026-12-26,0,szse_official_month_api
2026-12-27,0,szse_official_month_api
2026-12-28,1,szse_official_month_api
2026-12-29,1,szse_official_month_api
2026-12-30,1,szse_official_month_api
2026-12-31,1,szse_official_month_api
