neutralization_version,object_id,hypothesis_id,engines,direction_source,logic,expected_direction,birth_model,partition,horizon,is_primary_horizon,eligible_row_count,hit_row_count,hit_share,panel_horizon,panel_sample_count,panel_mean_raw_return,panel_mean_benchmark_return,panel_mean_market_excess_return,panel_median_market_excess_return,panel_std_market_excess_return,panel_market_excess_up_rate,hit_horizon,hit_sample_count,hit_mean_raw_return,hit_mean_benchmark_return,hit_mean_market_excess_return,hit_median_market_excess_return,hit_std_market_excess_return,hit_market_excess_up_rate,pooled_hit_mean_market_excess,hit_date_mean_market_excess,hit_date_t_market_excess,non_hit_pooled_mean_market_excess,long_short_spread,long_short_spread_t,long_short_spread_dates,event_rank_ic_mean,event_rank_ic_t,event_rank_ic_dates,factor_rank_ic_mean,factor_rank_ic_t,factor_rank_ic_dates,factor_rank_ic_source,style_r2_mean,style_dates_used,style_exposure_columns,style_neutral_hit_mean,style_neutral_hit_t,style_neutral_hit_dates,style_neutral_hit_pooled_mean,controlled_hit_coefficient,controlled_hit_coefficient_t,controlled_hit_coefficient_dates,segment_available,segment_neutral_hit_mean,segment_neutral_hit_t,style_explained_share,date_count,stock_count_per_date_mean,stock_count_per_date_min,stock_count_per_date_max,cross_sectional_mean_return,market_return,market_excess_date_mean,market_excess_date_t,hit_dates_count,hit_dates_market_excess,non_hit_dates_count,non_hit_dates_market_excess,hit_vs_non_hit_date_difference,hit_vs_non_hit_date_welch_t,hit_share_slope,hit_share_slope_t,date_binary_split_usable,hit_share_median,above_median_hit_share_date_excess,below_median_hit_share_date_excess,median_split_date_difference,median_split_welch_t,event_rows_vs_dates
phase4-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,listing_open_v1,OOS,20,True,77037,72951,0.946961,20,77037,0.00516,0.001976,0.003184,-0.005373,0.139446,0.47289,20,72951,0.005989,0.002022,0.003967,-0.004764,0.138242,0.475703,0.0039665,0.00319229,0.278556,-0.010791,0.0015566,0.363504,14,0.0040669,1.192935,14,0.00058942,0.155754,14,score_bazi,0.107569,14,"size_log_market_cap,value_ep,value_bp,momentum_60d,momentum_120d,volatility_20d,volatility_60d,turnover_free_20d",-7.551e-05,-0.849928,14,-7.807e-05,-0.00051797,-0.148462,14,True,-9.31e-05,-0.729529,1.023654,14,5502.64,5219,5653,0.00538122,0.00216888,0.00321242,0.277782,,,,,,,0.52987725,1.908934,False,0.957326,0.01329418,-0.00686934,0.02016353,0.863193,72951/14
phase4-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,listing_open_v1,OOS,60,False,76910,72834,0.947003,60,76910,0.005306,-0.000888,0.006194,-0.018767,0.247254,0.446951,60,72834,0.006079,-0.001188,0.007267,-0.017921,0.244807,0.449254,0.00726718,0.00658485,0.357267,-0.01298136,0.00016273,0.029822,14,0.00538813,0.930711,14,0.00687956,1.142692,14,score_bazi,0.091987,14,"size_log_market_cap,value_ep,value_bp,momentum_60d,momentum_120d,volatility_20d,volatility_60d,turnover_free_20d",-6.841e-05,-0.350394,14,-7.259e-05,-0.00353614,-0.736855,14,True,1.066e-05,0.048881,1.010389,14,5493.57,5215,5649,0.00543905,-0.00098453,0.00642368,0.3443,,,,,,,0.60530538,1.260568,False,0.957376,0.01903985,-0.00619248,0.02523232,0.661415,72834/14
phase4-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,listing_close_v1,TRAIN,5,False,94589,90610,0.957934,5,94589,-0.000505,0.001646,-0.002151,-0.005496,0.097879,0.446151,5,90610,-0.001183,0.001086,-0.002269,-0.00552,0.098258,0.445878,-0.00226874,-0.00092221,-0.145157,0.0005247,-0.00198049,-0.518402,36,0.0024442,0.6929,36,0.00279643,0.793026,36,score_bazi,0.076544,36,"size_log_market_cap,value_ep,value_bp,momentum_60d,momentum_120d,volatility_20d,volatility_60d,turnover_free_20d",-6.75e-05,-1.256796,36,-4.864e-05,-0.00251363,-0.736778,36,True,-6.211e-05,-1.023521,0.926806,36,2627.47,1693,3550,0.00181784,0.00268268,-0.00086482,-0.136126,,,,,,,-0.02154217,-0.132522,False,0.975578,0.00011466,-0.0018443,0.00195897,0.152008,90610/36
phase4-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,listing_close_v1,TRAIN,10,False,94584,90605,0.957932,10,94584,0.002044,0.005655,-0.003611,-0.012516,0.137527,0.422809,10,90605,0.001735,0.0052,-0.003465,-0.012449,0.137751,0.423597,-0.00346459,-0.00048705,-0.065686,-0.00694906,-0.00131244,-0.242559,36,0.00482095,1.382647,36,0.00310094,0.821003,36,score_bazi,0.085572,36,"size_log_market_cap,value_ep,value_bp,momentum_60d,momentum_120d,volatility_20d,volatility_60d,turnover_free_20d",-1.962e-05,-0.30544,36,-1.249e-05,-6.021e-05,-0.014589,36,True,-2.482e-05,-0.25913,0.959717,36,2627.33,1692,3550,0.00574889,0.00621089,-0.00046197,-0.062175,,,,,,,0.13951373,0.739513,False,0.975578,0.00526618,-0.00619013,0.01145631,0.766365,90605/36
phase4-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,listing_close_v1,TRAIN,20,True,94575,90596,0.957928,20,94575,0.011339,0.009284,0.002055,-0.018477,0.194598,0.417076,20,90596,0.010841,0.008322,0.002518,-0.018147,0.195244,0.418562,0.00251843,0.00550646,0.628151,-0.00848687,0.00018497,0.039818,36,0.00200413,0.591685,36,0.00076224,0.224606,36,score_bazi,0.082658,36,"size_log_market_cap,value_ep,value_bp,momentum_60d,momentum_120d,volatility_20d,volatility_60d,turnover_free_20d",-8.185e-05,-0.951158,36,-7.442e-05,-0.0010628,-0.315049,36,True,-8.422e-05,-0.653502,1.014864,36,2627.08,1692,3550,0.01479726,0.00922206,0.00557515,0.635152,,,,,,,0.34351458,1.584908,False,0.975574,0.01737278,-0.00622247,0.02359525,1.36028,90596/36
phase4-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,listing_close_v1,TRAIN,60,False,94489,90512,0.95791,60,94489,0.025117,0.002769,0.022348,-0.009776,0.277141,0.47451,60,90512,0.025611,0.002464,0.023147,-0.009132,0.278117,0.476423,0.02314665,0.02862487,1.398706,0.00417829,-0.00317505,-0.39971,36,0.0012722,0.436668,36,0.00587987,1.615043,36,score_bazi,0.09273,36,"size_log_market_cap,value_ep,value_bp,momentum_60d,momentum_120d,volatility_20d,volatility_60d,turnover_free_20d",-2.331e-05,-0.160159,36,-4.57e-06,0.00431783,0.786835,36,True,-0.00013281,-0.898576,1.000814,36,2624.69,1690,3544,0.03153259,0.00276157,0.028771,1.402881,,,,,,,0.53478891,1.035724,False,0.975551,0.04484715,0.01269486,0.03215229,0.77947,90512/36
phase4-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,listing_close_v1,VALIDATION,5,False,67196,63477,0.944654,5,67196,0.013347,0.011146,0.002201,-0.000148,0.081434,0.498809,5,63477,0.014169,0.011281,0.002888,0.000107,0.081161,0.500811,0.00288759,0.00146084,0.182395,-0.00951751,5.794e-05,0.017743,16,-0.0050523,-1.091908,16,0.00391403,0.798646,16,score_bazi,0.108664,16,"size_log_market_cap,value_ep,value_bp,momentum_60d,momentum_120d,volatility_20d,volatility_60d,turnover_free_20d",-4.345e-05,-0.51743,16,-4.717e-05,0.00019043,0.088838,16,True,-9.82e-05,-0.960475,1.029743,16,4199.75,3566,5051,0.0142475,0.01269035,0.0015572,0.193142,,,,,,,0.39173683,2.320234,False,0.952427,0.00671021,-0.00359581,0.01030601,0.626046,63477/16
phase4-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,listing_close_v1,VALIDATION,10,False,67186,63468,0.944661,10,67186,0.010509,0.004034,0.006476,-0.003339,0.126955,0.477719,10,63468,0.011284,0.003951,0.007333,-0.002866,0.127993,0.48092,0.00733348,0.00505516,0.555421,-0.00817002,0.00221175,0.402555,16,0.00021118,0.041752,16,0.00629615,1.488999,16,score_bazi,0.079762,16,"size_log_market_cap,value_ep,value_bp,momentum_60d,momentum_120d,volatility_20d,volatility_60d,turnover_free_20d",4.9e-05,0.337979,16,4.154e-05,0.00283745,0.687347,16,True,-5.108e-05,-0.371669,0.990307,16,4199.12,3566,5051,0.01191377,0.00680484,0.00510899,0.55855,,,,,,,0.44903424,2.351094,False,0.952427,0.01574302,-0.00552503,0.02126805,1.177464,63468/16
phase4-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,listing_close_v1,VALIDATION,20,True,67166,63448,0.944645,20,67166,-0.010175,-0.00534,-0.004835,-0.025515,0.168036,0.408495,20,63448,-0.008702,-0.005381,-0.003321,-0.024042,0.168822,0.413504,-0.00332073,-0.00870413,-0.590591,-0.03067775,0.00378537,0.586299,16,0.00185885,0.496983,16,0.00522451,1.117813,16,score_bazi,0.089255,16,"size_log_market_cap,value_ep,value_bp,momentum_60d,momentum_120d,volatility_20d,volatility_60d,turnover_free_20d",0.00012731,0.683979,16,0.00011526,0.00564181,0.900273,16,True,-5.791e-05,-0.440989,1.014626,16,4197.88,3566,5050,-0.01060147,-0.00197142,-0.00863001,-0.585296,,,,,,,0.77164984,2.577273,False,0.952408,0.02218806,-0.03944809,0.06163614,2.398487,63448/16
phase4-neutralization-v1,bazi_raw,HYP-BZ-RAW-001,bazi,raw,single,positive,listing_close_v1,VALIDATION,60,False,67005,63295,0.944631,60,67005,0.040583,0.021223,0.01936,-0.014406,0.337917,0.459264,60,63295,0.041937,0.021642,0.020295,-0.013728,0.342925,0.461205,0.02029523,0.01656041,1.02763,0.00339948,-0.003707,-0.827449,16,-0.00196049,-0.709161,16,0.00536274,1.351665,16,score_bazi,0.070471,16,"size_log_market_cap,value_ep,value_bp,momentum_60d,momentum_120d,volatility_20d,volatility_60d,turnover_free_20d",0.00027734,1.544559,16,0.00026403,0.00489594,0.788055,16,True,0.00012017,0.785223,0.983253,16,4187.81,3561,5050,0.04433286,0.02781711,0.01651577,1.023366,,,,,,,0.44149858,1.163294,False,0.952419,0.05434481,-0.02131326,0.07565808,2.844656,63295/16
