ts_code,symbol,name,area,industry,list_date,delist_date,list_status,exchange,market
920011.BJ,920011,晨光电机,浙江,电气设备,20260408,,L,BSE,北交所
688820.SH,688820,盛合晶微,江苏,半导体,20260421,,L,SSE,科创板
688818.SH,688818,电科蓝天,天津,航空,20260210,,L,SSE,科创板
688816.SH,688816,易思维,浙江,专用机械,20260211,,L,SSE,科创板
688813.SH,688813,泰金新能,陕西,专用机械,20260331,,L,SSE,科创板
688811.SH,688811,有研复材,北京,小金属,20260410,,L,SSE,科创板
688808.SH,688808,联讯仪器,江苏,电器仪表,20260424,,L,SSE,科创板
688785.SH,688785,恒运昌,深圳,半导体,20260128,,L,SSE,科创板
688781.SH,688781,视涯科技,安徽,元器件,20260325,,L,SSE,科创板
688712.SH,688712,北芯生命,深圳,医疗保健,20260205,,L,SSE,科创板
688635.SH,688635,长进光子,湖北,通信设备,20260527,,L,SSE,科创板
603459.SH,603459,红板科技,江西,元器件,20260408,,L,SSE,主板
603435.SH,603435,嘉德利,福建,元器件,20260522,,L,SSE,主板
603407.SH,603407,长裕集团,山东,化工原料,20260511,,L,SSE,主板
603293.SH,603293,埃泰克,安徽,汽车配件,20260416,,L,SSE,主板
603284.SH,603284,林平发展,安徽,造纸,20260210,,L,SSE,主板
601112.SH,601112,振石股份,浙江,玻璃,20260129,,L,SSE,主板
301696.SZ,301696,三瑞智能,江西,电气设备,20260410,,L,SZSE,创业板
301683.SZ,301683,慧谷新材,广东,染料涂料,20260401,,L,SZSE,创业板
301682.SZ,301682,宏明电子,四川,元器件,20260325,,L,SZSE,创业板
301680.SZ,301680,固德电材,江苏,汽车配件,20260306,,L,SZSE,创业板
301669.SZ,301669,高特电子,浙江,电气设备,20260609,,L,SZSE,创业板
301666.SZ,301666,大普微,深圳,IT设备,20260416,,L,SZSE,创业板
301599.SZ,301599,理奇智能,江苏,专用机械,20260430,,L,SZSE,创业板
301531.SZ,301531,春光集团,山东,矿物制品,20260511,,L,SZSE,创业板
301513.SZ,301513,尚水智能,深圳,专用机械,20260417,,L,SZSE,创业板
001393.SZ,001393,维通利,北京,电气设备,20260515,,L,SZSE,主板
001365.SZ,001365,天海电子,河南,汽车配件,20260518,,L,SZSE,主板
001312.SZ,001312,福恩股份,浙江,纺织,20260421,,L,SZSE,主板
001257.SZ,001257,盛龙股份,河南,小金属,20260331,,L,SZSE,主板
001237.SZ,001237,惠康科技,浙江,电气设备,20260522,,L,SZSE,主板
001220.SZ,001220,世盟股份,北京,仓储物流,20260203,,L,SZSE,主板
689009.SH,689009,九号公司,北京,摩托车,20201029,,L,SSE,科创板
920992.BJ,920992,中科美菱,安徽,医疗保健,20221018,,L,BSE,北交所
920985.BJ,920985,海泰新能,河北,电气设备,20220808,,L,BSE,北交所
920982.BJ,920982,锦波生物,山西,医疗保健,20230720,,L,BSE,北交所
920981.BJ,920981,晶赛科技,安徽,元器件,20211115,,L,BSE,北交所
920978.BJ,920978,开特股份,湖北,汽车配件,20230928,,L,BSE,北交所
920976.BJ,920976,视声智能,广东,通信设备,20230901,,L,BSE,北交所
920974.BJ,920974,凯大催化,浙江,化工原料,20230308,,L,BSE,北交所
920971.BJ,920971,天马新材,河南,化工原料,20220927,,L,BSE,北交所
920970.BJ,920970,大禹生物,山西,饲料,20220518,,L,BSE,北交所
920964.BJ,920964,润农节水,河北,建筑工程,20200727,,L,BSE,北交所
920961.BJ,920961,创远信科,上海,电器仪表,20200727,,L,BSE,北交所
920957.BJ,920957,汉维科技,广东,化工原料,20221214,,L,BSE,北交所
920953.BJ,920953,国子软件,山东,软件服务,20230823,,L,BSE,北交所
920950.BJ,920950,迅安科技,江苏,元器件,20230111,,L,BSE,北交所
920946.BJ,920946,森萱医药,江苏,化学制药,20200727,,L,BSE,北交所
920943.BJ,920943,优机股份,四川,机械基件,20220624,,L,BSE,北交所
920942.BJ,920942,恒立钻具,湖北,机械基件,20221208,,L,BSE,北交所
920932.BJ,920932,科达自控,山西,软件服务,20211115,,L,BSE,北交所
920931.BJ,920931,无锡鼎邦,江苏,化工机械,20240408,,L,BSE,北交所
920926.BJ,920926,鸿智科技,广东,家用电器,20230808,,L,BSE,北交所
920925.BJ,920925,锦好医疗,广东,医疗保健,20211025,,L,BSE,北交所
920924.BJ,920924,广脉科技,浙江,通信设备,20211103,,L,BSE,北交所
920914.BJ,920914,远航精密,江苏,小金属,20221111,,L,BSE,北交所
920906.BJ,920906,舜宇精工,浙江,汽车配件,20230222,,L,BSE,北交所
920896.BJ,920896,旺成科技,重庆,汽车配件,20230419,,L,BSE,北交所
920895.BJ,920895,花溪科技,河南,农用机械,20230406,,L,BSE,北交所
920892.BJ,920892,广咨国际,广东,建筑工程,20211028,,L,BSE,北交所
920885.BJ,920885,星辰科技,广西,电器仪表,20210708,,L,BSE,北交所
920879.BJ,920879,基康技术,北京,电器仪表,20221220,,L,BSE,北交所
920876.BJ,920876,慧为智能,深圳,元器件,20221109,,L,BSE,北交所
920873.BJ,920873,中设咨询,重庆,建筑工程,20211115,,L,BSE,北交所
920871.BJ,920871,派特尔,广东,塑料,20220722,,L,BSE,北交所
920870.BJ,920870,恒进感应,湖北,机床制造,20220705,,L,BSE,北交所
920866.BJ,920866,绿亨科技,广东,农药化肥,20221209,,L,BSE,北交所
920857.BJ,920857,泓禧科技,重庆,元器件,20220228,,L,BSE,北交所
920856.BJ,920856,浩淼科技,安徽,专用机械,20201225,,L,BSE,北交所
920855.BJ,920855,浙江大农,浙江,机床制造,20221229,,L,BSE,北交所
920839.BJ,920839,万通液压,山东,工程机械,20201109,,L,BSE,北交所
920837.BJ,920837,华原股份,广西,汽车配件,20230515,,L,BSE,北交所
920834.BJ,920834,三维装备,江苏,塑料,20220822,,L,BSE,北交所
920833.BJ,920833,美心翼申,重庆,汽车配件,20231108,,L,BSE,北交所
920832.BJ,920832,齐鲁华信,山东,化工原料,20210223,,L,BSE,北交所
920826.BJ,920826,盖世食品,辽宁,食品,20210112,,L,BSE,北交所
920821.BJ,920821,则成电子,深圳,元器件,20220706,,L,BSE,北交所
920819.BJ,920819,颖泰生物,北京,农药化肥,20200727,,L,BSE,北交所
920810.BJ,920810,春光智能,辽宁,专用机械,20221216,,L,BSE,北交所
920809.BJ,920809,安达科技,贵州,电气设备,20230323,,L,BSE,北交所
920808.BJ,920808,曙光数创,北京,IT设备,20221118,,L,BSE,北交所
920807.BJ,920807,奔朗新材,广东,机械基件,20221220,,L,BSE,北交所
920806.BJ,920806,云星宇,北京,软件服务,20240111,,L,BSE,北交所
920802.BJ,920802,保丽洁,江苏,环境保护,20230206,,L,BSE,北交所
920799.BJ,920799,艾融软件,上海,软件服务,20200727,,L,BSE,北交所
920792.BJ,920792,东和新材,辽宁,其他建材,20230330,,L,BSE,北交所
920790.BJ,920790,联迪信息,江苏,软件服务,20220902,,L,BSE,北交所
920786.BJ,920786,骑士乳业,内蒙,乳制品,20231013,,L,BSE,北交所
920781.BJ,920781,瑞奇智造,四川,专用机械,20221226,,L,BSE,北交所
920779.BJ,920779,武汉蓝电,湖北,电器仪表,20230601,,L,BSE,北交所
920770.BJ,920770,艾能聚,浙江,电气设备,20230228,,L,BSE,北交所
920768.BJ,920768,拾比佰,广东,家用电器,20210628,,L,BSE,北交所
920765.BJ,920765,美之高,深圳,家居用品,20210705,,L,BSE,北交所
920753.BJ,920753,天纺标,天津,纺织,20221031,,L,BSE,北交所
