trade_date,open,high,low,close,volume,amount,turnover,pct_change,adjust
2010-05-28,78.000,83.000,76.880,81.930,340984,,,,hfq
2010-05-31,85.880,87.770,83.510,85.000,172279,,,3.7471,hfq
2010-06-01,86.000,88.000,84.180,87.250,109947,,,2.6471,hfq
2010-06-02,84.500,86.400,82.220,86.100,94963,,,-1.3181,hfq
2010-06-03,86.000,86.790,81.010,81.600,75605,,,-5.2265,hfq
2010-06-04,80.050,82.890,80.030,81.050,50878,,,-0.6740,hfq
2010-06-07,78.410,82.590,78.410,81.130,46768,,,0.0987,hfq
2010-06-08,80.600,82.400,77.430,79.290,55143,,,-2.2680,hfq
2010-06-09,79.090,82.380,78.520,81.200,44958,,,2.4089,hfq
2010-06-10,80.500,84.260,80.270,83.500,36192,,,2.8325,hfq
2010-06-11,84.000,84.900,82.580,84.180,37851,,,0.8144,hfq
2010-06-17,84.200,84.720,79.300,80.000,33015,,,-4.9656,hfq
2010-06-18,78.920,80.940,78.520,79.590,19239,,,-0.5125,hfq
2010-06-21,79.000,79.380,74.000,79.000,23655,,,-0.7413,hfq
2010-06-22,78.000,79.350,76.880,77.500,11907,,,-1.8987,hfq
2010-06-23,76.500,78.500,76.060,78.200,12902,,,0.9032,hfq
2010-06-24,77.810,78.800,77.730,78.600,11781,,,0.5115,hfq
2010-06-28,78.480,78.480,74.820,75.000,22415,,,-4.5802,hfq
2010-06-29,75.000,75.000,69.180,69.580,19273,,,-7.2267,hfq
2010-06-30,68.770,70.500,66.000,69.300,12763,,,-0.4024,hfq
2010-07-01,69.000,69.790,68.050,68.400,7048,,,-1.2987,hfq
2010-07-02,68.150,68.600,63.600,66.660,17593,,,-2.5439,hfq
2010-07-05,65.000,67.980,64.200,67.890,10424,,,1.8452,hfq
2010-07-06,67.000,69.500,66.320,68.640,10107,,,1.1047,hfq
2010-07-07,69.140,69.500,67.160,69.460,8628,,,1.1946,hfq
2010-07-08,70.000,70.470,68.500,69.740,9383,,,0.4031,hfq
2010-07-09,69.740,72.480,68.930,71.530,8821,,,2.5667,hfq
2010-07-12,71.900,71.900,70.000,71.190,12880,,,-0.4753,hfq
2010-07-13,70.500,70.500,68.510,68.840,6009,,,-3.3010,hfq
2010-07-14,69.390,69.800,68.160,69.160,8361,,,0.4648,hfq
2010-07-15,69.080,69.900,67.870,67.870,5017,,,-1.8652,hfq
2010-07-16,67.680,67.680,65.300,66.040,11961,,,-2.6963,hfq
2010-07-19,65.500,66.980,65.240,66.800,7426,,,1.1508,hfq
2010-07-20,66.490,69.860,66.490,69.700,10752,,,4.3413,hfq
2010-07-21,69.700,71.700,69.200,70.490,13002,,,1.1334,hfq
2010-07-22,69.950,70.780,69.310,70.760,6230,,,0.3830,hfq
2010-07-23,71.110,72.060,69.800,70.320,8561,,,-0.6218,hfq
2010-07-26,70.560,71.400,70.040,71.270,15350,,,1.3510,hfq
2010-07-27,71.100,71.680,70.300,70.300,9075,,,-1.3610,hfq
2010-07-28,69.650,71.890,69.510,71.720,13489,,,2.0199,hfq
2010-07-29,71.800,73.280,71.770,72.550,13925,,,1.1573,hfq
2010-07-30,72.550,72.550,71.040,72.030,9142,,,-0.7167,hfq
2010-08-02,72.000,74.900,71.830,74.800,15154,,,3.8456,hfq
2010-08-03,74.790,76.740,74.280,75.800,15329,,,1.3369,hfq
2010-08-04,75.490,77.700,75.010,77.700,12326,,,2.5066,hfq
2010-08-05,77.700,78.270,76.700,77.200,8129,,,-0.6435,hfq
2010-08-06,76.850,80.750,76.710,80.000,13801,,,3.6269,hfq
2010-08-09,79.900,82.270,79.500,81.150,8743,,,1.4375,hfq
2010-08-10,80.850,81.470,77.620,78.150,9616,,,-3.6969,hfq
2010-08-11,77.480,79.750,76.520,78.500,5975,,,0.4479,hfq
2010-08-12,78.100,78.710,75.920,76.350,6114,,,-2.7389,hfq
2010-08-13,76.650,78.050,76.350,77.900,6460,,,2.0301,hfq
2010-08-16,78.480,78.830,77.410,78.700,8574,,,1.0270,hfq
2010-08-17,78.750,82.540,78.750,79.900,11074,,,1.5248,hfq
2010-08-18,79.900,80.270,77.730,77.730,9147,,,-2.7159,hfq
2010-08-19,77.480,78.990,77.400,77.740,6408,,,0.0129,hfq
2010-08-20,77.510,78.270,76.110,76.480,7205,,,-1.6208,hfq
2010-08-23,76.470,77.060,74.500,76.060,10198,,,-0.5492,hfq
2010-08-24,76.080,77.680,75.250,77.030,5927,,,1.2753,hfq
2010-08-25,76.500,78.760,75.500,76.310,8377,,,-0.9347,hfq
2010-08-26,76.350,79.210,76.350,78.120,7617,,,2.3719,hfq
2010-08-27,78.100,79.750,77.160,78.300,10776,,,0.2304,hfq
2010-08-30,78.300,81.170,77.400,80.760,31282,,,3.1418,hfq
2010-08-31,80.190,81.080,78.880,80.320,16239,,,-0.5448,hfq
2010-09-01,80.350,80.840,72.340,72.510,47896,,,-9.7236,hfq
2010-09-02,74.300,75.500,72.660,73.050,37059,,,0.7447,hfq
2010-09-03,73.130,75.380,73.120,74.410,13672,,,1.8617,hfq
2010-09-06,74.650,74.950,71.500,73.560,23461,,,-1.1423,hfq
2010-09-07,73.080,73.500,72.120,72.900,13627,,,-0.8972,hfq
2010-09-08,72.880,74.000,72.320,73.970,13322,,,1.4678,hfq
2010-09-09,73.760,74.210,71.810,72.300,17966,,,-2.2577,hfq
2010-09-10,72.100,72.980,70.220,70.800,15983,,,-2.0747,hfq
2010-09-13,71.100,73.680,70.810,73.470,21123,,,3.7712,hfq
2010-09-14,73.880,75.700,73.300,75.230,17109,,,2.3955,hfq
2010-09-15,75.500,75.640,71.550,71.700,13981,,,-4.6923,hfq
2010-09-16,71.810,72.880,69.900,70.290,17023,,,-1.9665,hfq
2010-09-17,70.600,71.480,69.000,70.300,13103,,,0.0142,hfq
2010-09-20,70.280,71.180,70.010,70.670,12399,,,0.5263,hfq
2010-09-21,70.810,71.270,69.500,70.940,8294,,,0.3821,hfq
2010-09-27,71.280,73.040,70.940,72.400,9009,,,2.0581,hfq
2010-09-28,72.240,73.450,71.330,73.000,13122,,,0.8287,hfq
2010-09-29,72.990,73.300,71.280,71.500,8584,,,-2.0548,hfq
2010-09-30,71.980,73.500,71.500,72.790,10862,,,1.8042,hfq
2010-10-08,73.500,74.250,72.500,74.000,16777,,,1.6623,hfq
2010-10-11,73.500,75.360,71.300,72.000,23227,,,-2.7027,hfq
2010-10-12,72.000,72.700,71.110,72.500,13344,,,0.6944,hfq
2010-10-13,72.000,74.070,71.700,73.820,11690,,,1.8207,hfq
2010-10-14,73.640,73.780,70.370,70.390,11734,,,-4.6464,hfq
2010-10-15,70.400,71.030,68.410,70.490,18533,,,0.1421,hfq
2010-10-18,70.300,70.380,66.700,68.400,19407,,,-2.9650,hfq
2010-10-19,68.380,71.400,68.110,71.000,15323,,,3.8012,hfq
2010-10-20,69.510,72.290,69.510,71.000,10583,,,0.0000,hfq
2010-10-21,70.970,73.010,70.930,71.300,18198,,,0.4225,hfq
2010-10-22,71.590,72.500,70.700,71.360,14182,,,0.0842,hfq
2010-10-25,71.700,74.000,71.530,73.580,26726,,,3.1110,hfq
2010-10-26,73.490,74.960,73.010,74.500,17555,,,1.2503,hfq
2010-10-27,75.020,75.650,72.510,73.170,14560,,,-1.7852,hfq
2010-10-28,72.910,80.440,72.910,80.440,47191,,,9.9358,hfq
2010-10-29,81.600,87.490,81.000,84.200,50418,,,4.6743,hfq
2010-11-01,84.000,86.700,83.510,85.700,28698,,,1.7815,hfq
2010-11-02,85.700,85.700,82.600,84.500,17104,,,-1.4002,hfq
2010-11-03,83.750,86.650,81.500,86.120,20653,,,1.9172,hfq
2010-11-04,86.130,91.290,85.000,90.500,27894,,,5.0859,hfq
2010-11-05,89.500,91.210,88.000,89.630,21578,,,-0.9613,hfq
2010-11-08,90.490,92.240,88.190,91.690,22058,,,2.2983,hfq
2010-11-09,90.500,92.880,90.000,90.940,12227,,,-0.8180,hfq
2010-11-10,91.500,97.480,90.800,93.800,13190,,,3.1449,hfq
2010-11-11,93.270,101.450,92.010,98.350,16440,,,4.8507,hfq
2010-11-12,98.500,104.450,94.500,94.610,23734,,,-3.8027,hfq
2010-11-15,96.510,100.200,94.630,99.550,13235,,,5.2214,hfq
2010-11-16,101.260,105.480,95.530,99.110,15575,,,-0.4420,hfq
2010-11-17,97.700,100.990,92.500,93.000,12596,,,-6.1649,hfq
2010-11-18,94.500,94.500,92.080,93.500,10522,,,0.5376,hfq
2010-11-19,95.500,100.950,93.840,100.680,16383,,,7.6791,hfq
2010-11-23,105.500,107.500,101.000,101.600,45714,,,0.9138,hfq
2010-11-24,99.500,102.080,98.100,100.880,26876,,,-0.7087,hfq
2010-11-25,100.880,103.980,95.520,97.700,23887,,,-3.1523,hfq
2010-11-26,95.980,97.980,95.540,97.100,9628,,,-0.6141,hfq
2010-11-29,96.500,98.000,95.100,97.050,15497,,,-0.0515,hfq
2010-11-30,96.760,101.470,93.750,98.450,22180,,,1.4426,hfq
2010-12-01,100.080,100.080,95.700,97.430,10077,,,-1.0361,hfq
2010-12-02,98.190,98.500,96.850,97.460,6981,,,0.0308,hfq
2010-12-03,97.460,97.900,93.610,93.920,12440,,,-3.6323,hfq
2010-12-06,94.480,94.890,88.300,90.500,12383,,,-3.6414,hfq
2010-12-07,90.000,94.290,89.810,93.270,13793,,,3.0608,hfq
2010-12-08,93.900,95.000,92.900,93.100,8585,,,-0.1823,hfq
2010-12-09,93.300,93.500,90.110,90.200,6835,,,-3.1149,hfq
2010-12-10,90.500,92.450,89.600,91.850,13408,,,1.8293,hfq
2010-12-14,94.620,100.990,94.620,99.450,34770,,,8.2744,hfq
2010-12-15,98.510,100.980,98.500,99.150,12294,,,-0.3017,hfq
2010-12-16,99.010,103.400,99.010,100.480,10075,,,1.3414,hfq
2010-12-17,99.500,102.450,99.020,100.200,5899,,,-0.2787,hfq
2010-12-20,99.830,102.400,96.500,99.000,11760,,,-1.1976,hfq
2010-12-21,99.900,102.580,99.480,101.400,11635,,,2.4242,hfq
2010-12-22,101.000,101.990,97.500,99.130,7405,,,-2.2387,hfq
2010-12-23,97.700,99.120,96.790,96.820,6307,,,-2.3303,hfq
2010-12-24,96.500,96.590,92.460,93.200,7365,,,-3.7389,hfq
2010-12-27,93.200,96.500,88.810,90.540,10418,,,-2.8541,hfq
2010-12-28,90.500,91.500,88.100,88.500,10664,,,-2.2531,hfq
2010-12-29,89.490,91.900,88.510,91.300,10129,,,3.1638,hfq
2010-12-30,91.500,93.280,90.560,92.600,7980,,,1.4239,hfq
2010-12-31,92.500,96.000,92.500,94.800,9839,,,2.3758,hfq
2011-01-04,95.100,95.370,93.500,95.330,8160,,,0.5591,hfq
2011-01-05,95.500,95.500,92.150,92.280,10888,,,-3.1994,hfq
2011-01-06,92.270,93.700,90.850,91.300,7891,,,-1.0620,hfq
2011-01-07,90.620,92.300,90.610,91.300,5366,,,0.0000,hfq
2011-01-10,91.300,92.000,88.500,88.800,5160,,,-2.7382,hfq
2011-01-11,88.500,90.500,88.020,89.300,3982,,,0.5631,hfq
2011-01-12,89.310,90.800,88.510,89.410,3174,,,0.1232,hfq
2011-01-13,90.640,92.980,89.900,91.500,6178,,,2.3375,hfq
2011-01-14,91.540,91.930,89.500,89.610,3180,,,-2.0656,hfq
2011-01-17,89.490,91.000,84.560,85.300,6317,,,-4.8097,hfq
2011-01-18,85.300,86.580,80.500,82.900,9486,,,-2.8136,hfq
2011-01-19,82.500,85.900,81.510,85.610,6975,,,3.2690,hfq
2011-01-20,85.500,86.350,82.630,84.300,5573,,,-1.5302,hfq
2011-01-21,83.520,84.800,83.000,84.300,9120,,,0.0000,hfq
2011-01-24,81.710,84.140,80.440,80.500,3909,,,-4.5077,hfq
2011-01-25,79.360,80.500,78.700,79.380,4687,,,-1.3913,hfq
2011-01-26,78.330,80.860,78.330,80.540,3493,,,1.4613,hfq
2011-01-27,79.900,81.900,79.520,81.130,3329,,,0.7326,hfq
2011-01-28,81.500,82.300,79.490,81.090,2927,,,-0.0493,hfq
2011-01-31,81.400,82.100,80.300,81.550,1950,,,0.5673,hfq
2011-02-01,82.000,82.300,80.330,80.410,3788,,,-1.3979,hfq
2011-02-09,80.410,80.900,79.830,80.290,1991,,,-0.1492,hfq
2011-02-10,79.750,83.180,79.750,83.040,5008,,,3.4251,hfq
2011-02-11,83.090,83.720,82.050,83.000,6256,,,-0.0482,hfq
2011-02-14,83.000,86.160,82.600,85.500,7254,,,3.0120,hfq
2011-02-15,86.210,86.210,84.300,84.500,7233,,,-1.1696,hfq
2011-02-16,84.300,84.780,82.490,84.190,9194,,,-0.3669,hfq
2011-02-17,84.380,84.850,83.300,83.950,8106,,,-0.2851,hfq
2011-02-18,83.900,83.950,81.500,82.000,7887,,,-2.3228,hfq
2011-02-21,83.320,87.300,83.150,87.300,16323,,,6.4634,hfq
2011-02-22,87.400,87.750,83.500,84.270,14334,,,-3.4708,hfq
2011-02-23,84.270,85.000,83.300,83.700,9578,,,-0.6764,hfq
2011-02-24,83.800,87.190,83.800,86.770,24921,,,3.6679,hfq
2011-02-25,87.080,90.500,87.080,88.500,27799,,,1.9938,hfq
2011-02-28,88.550,89.700,86.200,86.820,13026,,,-1.8983,hfq
2011-03-01,86.840,89.000,86.500,88.270,10503,,,1.6701,hfq
2011-03-02,87.600,88.100,85.910,87.000,5928,,,-1.4388,hfq
2011-03-03,86.560,87.460,84.480,85.730,11820,,,-1.4598,hfq
2011-03-04,84.800,87.300,84.430,84.900,6630,,,-0.9682,hfq
2011-03-07,85.640,86.270,84.500,85.880,10805,,,1.1543,hfq
2011-03-08,85.860,88.480,84.500,88.450,12306,,,2.9925,hfq
2011-03-09,88.300,88.750,86.970,87.130,8924,,,-1.4924,hfq
2011-03-10,87.130,87.810,86.300,87.510,5782,,,0.4361,hfq
2011-03-11,87.200,88.290,86.010,86.510,10815,,,-1.1427,hfq
2011-03-14,86.130,88.180,86.130,87.900,10108,,,1.6068,hfq
2011-03-15,87.900,89.910,87.110,89.390,16096,,,1.6951,hfq
2011-03-16,89.820,93.500,88.900,92.150,14456,,,3.0876,hfq
2011-03-17,91.500,94.300,90.300,90.870,17814,,,-1.3890,hfq
2011-03-18,91.000,92.150,89.000,89.510,9368,,,-1.4966,hfq
2011-03-21,89.070,90.900,88.910,88.980,7464,,,-0.5921,hfq
2011-03-22,89.100,89.410,86.980,87.190,10830,,,-2.0117,hfq
2011-03-23,87.790,87.840,86.610,87.400,9254,,,0.2409,hfq
2011-03-24,87.780,87.790,86.940,87.000,8462,,,-0.4577,hfq
2011-03-25,87.010,87.500,86.650,87.280,9826,,,0.3218,hfq
