trade_date,open,high,low,close,volume,amount,turnover,pct_change,adjust
1998-04-27,29.770,57.000,29.770,53.570,341631,,,,hfq
1998-04-28,54.000,56.500,53.600,54.190,67658,,,1.1574,hfq
1998-04-29,54.970,54.980,52.900,53.300,33932,,,-1.6424,hfq
1998-04-30,53.300,54.200,53.200,53.650,23857,,,0.6567,hfq
1998-05-04,55.100,59.020,55.000,59.020,49210,,,10.0093,hfq
1998-05-05,62.880,64.900,61.610,62.660,84095,,,6.1674,hfq
1998-05-06,62.200,66.000,61.800,65.730,44366,,,4.8995,hfq
1998-05-07,67.000,69.800,66.000,66.450,60016,,,1.0954,hfq
1998-05-08,66.450,68.180,66.000,67.020,35394,,,0.8578,hfq
1998-05-11,66.600,67.180,63.800,64.040,32802,,,-4.4464,hfq
1998-05-12,63.300,63.800,62.220,63.430,19151,,,-0.9525,hfq
1998-05-13,63.200,65.750,63.010,63.850,13930,,,0.6621,hfq
1998-05-14,63.850,64.450,62.850,63.030,11501,,,-1.2843,hfq
1998-05-15,63.400,65.200,63.100,63.930,10440,,,1.4279,hfq
1998-05-18,65.000,65.000,62.520,63.100,7358,,,-1.2983,hfq
1998-05-19,62.500,64.000,61.500,62.330,10973,,,-1.2203,hfq
1998-05-20,62.000,62.300,60.850,60.890,9217,,,-2.3103,hfq
1998-05-21,60.300,63.200,60.300,62.010,7722,,,1.8394,hfq
1998-05-22,62.100,63.000,61.600,62.490,8264,,,0.7741,hfq
1998-05-25,62.480,62.490,60.860,60.930,6874,,,-2.4964,hfq
1998-05-26,60.880,61.990,60.380,60.740,6630,,,-0.3118,hfq
1998-05-27,61.000,61.000,59.530,59.680,10561,,,-1.7451,hfq
1998-05-28,59.100,61.480,59.000,60.040,12403,,,0.6032,hfq
1998-05-29,60.030,60.900,59.800,60.000,5369,,,-0.0666,hfq
1998-06-01,60.000,60.000,57.880,58.970,12908,,,-1.7167,hfq
1998-06-02,58.900,58.900,57.800,57.900,8585,,,-1.8145,hfq
1998-06-03,57.590,57.750,55.920,55.990,12373,,,-3.2988,hfq
1998-06-04,55.500,58.100,55.190,56.970,10243,,,1.7503,hfq
1998-06-05,56.970,58.090,56.800,57.980,7261,,,1.7729,hfq
1998-06-08,57.670,58.000,56.400,56.750,6240,,,-2.1214,hfq
1998-06-09,56.480,56.500,55.200,55.570,6638,,,-2.0793,hfq
1998-06-10,55.500,58.000,55.500,57.010,5059,,,2.5913,hfq
1998-06-11,56.800,57.280,55.500,55.640,3670,,,-2.4031,hfq
1998-06-12,57.700,57.700,56.200,56.600,4356,,,1.7254,hfq
1998-06-15,56.880,56.880,55.400,55.870,3986,,,-1.2898,hfq
1998-06-16,55.500,55.500,53.800,53.970,10129,,,-3.4008,hfq
1998-06-17,54.000,54.900,53.600,53.970,3812,,,0.0000,hfq
1998-06-18,54.000,54.700,54.000,54.350,4789,,,0.7041,hfq
1998-06-19,54.000,55.200,53.990,55.070,5494,,,1.3247,hfq
1998-06-22,55.500,56.980,55.200,55.980,5002,,,1.6524,hfq
1998-06-23,55.860,56.680,55.200,56.260,3337,,,0.5002,hfq
1998-06-24,57.000,57.100,55.360,55.490,2210,,,-1.3686,hfq
1998-06-25,55.490,55.640,54.400,54.500,3207,,,-1.7841,hfq
1998-06-26,54.200,54.580,54.000,54.230,4139,,,-0.4954,hfq
1998-06-29,55.000,55.080,53.200,53.350,5049,,,-1.6227,hfq
1998-06-30,53.500,53.500,50.500,50.760,9071,,,-4.8547,hfq
1998-07-01,51.580,52.160,49.200,49.730,15820,,,-2.0292,hfq
1998-07-02,49.800,50.000,48.010,49.990,7892,,,0.5228,hfq
1998-07-03,51.980,51.980,49.600,50.370,4590,,,0.7602,hfq
1998-07-06,50.300,50.350,49.700,49.800,2323,,,-1.1316,hfq
1998-07-07,49.190,50.150,49.020,49.940,2104,,,0.2811,hfq
1998-07-08,50.480,50.480,49.680,49.690,2135,,,-0.5006,hfq
1998-07-09,49.800,50.000,49.010,49.350,2562,,,-0.6842,hfq
1998-07-10,49.400,51.150,49.350,50.790,4397,,,2.9179,hfq
1998-07-13,50.780,50.780,49.800,49.920,4482,,,-1.7129,hfq
1998-07-14,50.000,50.000,49.000,49.550,7687,,,-0.7412,hfq
1998-07-15,49.000,50.600,49.000,49.860,2303,,,0.6256,hfq
1998-07-16,49.800,50.000,47.750,47.800,7616,,,-4.1316,hfq
1998-07-17,47.800,48.200,46.300,46.700,5965,,,-2.3013,hfq
1998-07-20,46.000,46.030,44.550,44.880,7536,,,-3.8972,hfq
1998-07-21,44.900,48.300,44.700,46.480,5869,,,3.5651,hfq
1998-07-22,46.400,47.300,45.530,46.770,4460,,,0.6239,hfq
1998-07-23,46.800,46.990,45.850,46.000,3749,,,-1.6464,hfq
1998-07-24,46.000,48.470,46.000,47.980,10253,,,4.3043,hfq
1998-07-27,47.980,48.200,47.110,47.500,3947,,,-1.0004,hfq
1998-07-28,47.550,47.960,47.060,47.300,1771,,,-0.4211,hfq
1998-07-29,47.050,47.600,46.500,46.630,3011,,,-1.4165,hfq
1998-07-30,46.600,47.280,45.850,46.500,5099,,,-0.2788,hfq
1998-07-31,46.510,47.000,46.500,46.610,1780,,,0.2366,hfq
1998-08-03,46.500,46.500,44.900,45.090,5548,,,-3.2611,hfq
1998-08-04,45.080,45.700,44.700,45.400,3500,,,0.6875,hfq
1998-08-05,45.890,45.890,44.950,45.000,2735,,,-0.8811,hfq
1998-08-06,45.530,46.600,45.000,45.300,4621,,,0.6667,hfq
1998-08-07,45.500,45.650,44.300,44.550,5420,,,-1.6556,hfq
1998-08-10,44.170,44.170,42.100,42.510,5481,,,-4.5791,hfq
1998-08-11,41.990,43.360,41.690,42.000,3673,,,-1.1997,hfq
1998-08-12,42.010,42.480,40.000,41.010,7900,,,-2.3571,hfq
1998-08-13,42.000,42.400,40.980,41.740,4157,,,1.7801,hfq
1998-08-14,41.500,41.580,40.180,40.300,5375,,,-3.4499,hfq
