trade_date,open,high,low,close,volume,amount,turnover,pct_change,adjust
2005-04-08,984.660,1003.700,979.530,1003.450,14762500,,,,none
2005-04-11,1003.880,1008.730,992.770,995.420,15936100,,,-0.8002,none
2005-04-12,993.710,993.710,978.200,978.700,10226200,,,-1.6797,none
2005-04-13,987.950,1006.500,987.950,1000.900,16071700,,,2.2683,none
2005-04-14,1004.640,1006.420,985.580,986.970,12945700,,,-1.3917,none
2005-04-15,982.610,982.610,971.930,974.080,10409000,,,-1.3060,none
2005-04-18,970.910,970.910,958.650,963.770,8598400,,,-1.0584,none
2005-04-19,962.920,968.870,957.910,965.890,9212620,,,0.2200,none
2005-04-20,964.150,964.150,946.200,950.870,8850700,,,-1.5550,none
2005-04-21,948.860,955.550,938.590,943.980,9946150,,,-0.7246,none
2005-04-22,942.910,947.910,934.960,939.100,10691900,,,-0.5170,none
2005-04-25,935.990,935.990,920.160,930.070,11470500,,,-0.9616,none
2005-04-26,928.430,939.700,924.660,937.080,11690500,,,0.7537,none
2005-04-27,938.570,938.910,925.900,926.600,10780600,,,-1.1184,none
2005-04-28,923.530,945.500,914.830,942.070,14343500,,,1.6695,none
2005-04-29,940.810,942.450,929.810,932.400,11235400,,,-1.0265,none
2005-05-09,934.650,937.390,909.170,909.170,8529110,,,-2.4914,none
2005-05-10,905.540,913.390,892.310,913.080,10494300,,,0.4301,none
2005-05-11,911.840,917.220,900.440,901.850,9042050,,,-1.2299,none
2005-05-12,899.970,900.060,883.510,885.820,10228700,,,-1.7775,none
2005-05-13,883.510,898.510,875.580,887.540,11244900,,,0.1942,none
2005-05-16,885.390,885.390,869.330,875.270,8224289,,,-1.3825,none
2005-05-17,873.080,888.280,868.210,881.460,8772270,,,0.7072,none
2005-05-18,881.140,890.400,871.820,883.200,7878610,,,0.1974,none
2005-05-19,882.840,888.020,871.290,884.170,8149579,,,0.1098,none
2005-05-20,883.510,891.020,879.180,882.760,7226679,,,-0.1595,none
2005-05-23,880.280,880.280,862.100,863.340,7279800,,,-2.1999,none
2005-05-24,861.200,871.770,855.590,868.460,9206929,,,0.5930,none
2005-05-25,867.660,876.300,861.660,868.450,7238560,,,-0.0012,none
2005-05-26,867.760,872.840,854.960,857.330,6622789,,,-1.2804,none
2005-05-27,855.590,864.960,848.400,849.510,7749979,,,-0.9121,none
2005-05-30,847.630,858.460,842.100,855.610,6971579,,,0.7181,none
2005-05-31,856.560,863.200,853.290,855.950,7047820,,,0.0397,none
2005-06-01,855.210,857.660,836.040,837.530,7902300,,,-2.1520,none
2005-06-02,835.470,835.490,812.990,818.380,9508660,,,-2.2865,none
2005-06-03,816.550,823.860,807.970,818.030,7936060,,,-0.0428,none
2005-06-06,816.730,839.150,807.780,839.000,9009189,,,2.5635,none
2005-06-07,841.580,858.090,835.180,837.280,13067100,,,-0.2050,none
2005-06-08,848.540,908.830,844.470,905.770,32907800,,,8.1801,none
2005-06-09,907.570,925.360,895.040,912.600,33141800,,,0.7541,none
2005-06-10,911.940,911.940,889.100,894.560,22391500,,,-1.9768,none
2005-06-13,895.000,900.180,877.690,892.960,15628000,,,-0.1789,none
