trade_date,open,high,low,close,volume,amount,turnover,pct_change,adjust
1994-02-24,7.800,8.140,7.400,8.040,68958,,,,hfq
1994-02-25,8.200,8.600,8.080,8.500,70340,,,5.7214,hfq
1994-02-28,8.500,8.500,7.800,7.870,27732,,,-7.4118,hfq
1994-03-01,7.800,7.850,7.290,7.290,9512,,,-7.3698,hfq
1994-03-02,7.280,7.640,6.940,7.180,13865,,,-1.5089,hfq
1994-03-03,7.250,7.520,7.080,7.270,8196,,,1.2535,hfq
1994-03-04,7.200,7.870,7.120,7.700,40385,,,5.9147,hfq
1994-03-07,7.850,7.920,7.720,7.780,8378,,,1.0390,hfq
1994-03-08,7.890,7.890,7.200,7.450,14664,,,-4.2416,hfq
1994-03-09,7.400,7.880,7.160,7.850,36835,,,5.3691,hfq
1994-03-10,7.800,7.830,7.110,7.110,23737,,,-9.4268,hfq
1994-03-11,7.110,7.250,6.900,7.140,12499,,,0.4219,hfq
1994-03-14,7.500,7.900,7.350,7.800,26336,,,9.2437,hfq
1994-03-15,7.910,8.180,7.530,7.800,37409,,,0.0000,hfq
1994-03-16,7.900,9.180,7.900,8.970,92191,,,15.0000,hfq
1994-03-17,8.880,8.900,8.010,8.400,43008,,,-6.3545,hfq
1994-03-18,8.050,8.210,7.500,7.710,17148,,,-8.2143,hfq
1994-03-21,7.500,7.950,7.400,7.500,10350,,,-2.7237,hfq
1994-03-22,7.500,8.000,7.400,7.980,6051,,,6.4000,hfq
1994-03-23,7.700,7.900,7.480,7.480,7384,,,-6.2657,hfq
1994-03-24,7.850,7.850,7.450,7.690,5850,,,2.8075,hfq
1994-03-25,7.750,7.750,7.500,7.660,9161,,,-0.3901,hfq
1994-03-28,7.500,7.600,7.050,7.240,8515,,,-5.4830,hfq
1994-03-29,7.280,7.400,7.150,7.290,7734,,,0.6906,hfq
1994-03-30,7.380,7.430,7.160,7.290,6403,,,0.0000,hfq
1994-03-31,7.400,7.740,7.350,7.620,13090,,,4.5267,hfq
1994-04-01,7.750,8.050,7.280,7.500,27378,,,-1.5748,hfq
1994-04-04,7.550,7.550,7.310,7.310,3789,,,-2.5333,hfq
1994-04-05,7.310,7.500,7.130,7.270,4045,,,-0.5472,hfq
1994-04-06,7.310,7.360,7.200,7.230,1718,,,-0.5502,hfq
1994-04-07,7.280,7.390,7.270,7.280,2144,,,0.6916,hfq
1994-04-08,7.280,7.430,7.180,7.280,1490,,,0.0000,hfq
1994-04-11,7.200,7.250,7.120,7.150,2456,,,-1.7857,hfq
1994-04-12,7.200,7.250,7.100,7.160,1770,,,0.1399,hfq
1994-04-13,7.280,7.610,7.230,7.410,29457,,,3.4916,hfq
1994-04-14,7.410,7.930,7.410,7.820,48766,,,5.5331,hfq
1994-04-15,7.900,8.880,7.670,8.800,61728,,,12.5320,hfq
1994-04-18,10.430,11.480,9.580,11.400,59448,,,29.5455,hfq
1994-04-19,11.400,11.650,10.420,10.800,54717,,,-5.2632,hfq
1994-04-20,10.500,11.200,9.500,10.810,36643,,,0.0926,hfq
1994-04-21,11.080,12.060,10.930,12.000,36032,,,11.0083,hfq
1994-04-22,12.050,13.690,12.050,13.500,32671,,,12.5000,hfq
1994-04-25,13.550,14.190,11.660,14.000,42335,,,3.7037,hfq
1994-04-26,14.100,14.250,13.590,14.020,23197,,,0.1429,hfq
1994-04-27,14.020,15.690,14.000,15.430,19148,,,10.0571,hfq
1994-04-28,15.500,15.800,14.200,15.300,6906,,,-0.8425,hfq
1994-04-29,15.500,15.920,15.100,15.400,7319,,,0.6536,hfq
1994-05-03,15.600,15.990,15.410,15.580,2700,,,1.1688,hfq
1994-05-04,15.500,16.220,15.100,16.100,7690,,,3.3376,hfq
1994-05-05,16.100,16.100,15.540,15.680,1652,,,-2.6087,hfq
1994-05-06,14.200,15.600,14.200,15.230,3121,,,-2.8699,hfq
1994-05-09,14.800,15.100,13.600,13.700,10677,,,-10.0460,hfq
1994-05-10,13.750,13.950,12.200,12.720,16446,,,-7.1533,hfq
1994-05-11,12.400,13.900,12.400,12.530,29187,,,-1.4937,hfq
1994-05-12,12.550,13.100,12.260,12.420,10404,,,-0.8779,hfq
1994-05-13,12.320,12.650,11.500,11.760,14774,,,-5.3140,hfq
1994-05-16,11.800,12.200,11.800,12.180,13946,,,3.5714,hfq
1994-05-17,12.400,12.880,12.300,12.870,13512,,,5.6650,hfq
