trade_date,open,high,low,close,volume,amount,turnover,pct_change,adjust
2013-09-18,40.500,46.400,39.880,42.240,388897,,,,hfq
2013-09-23,41.900,46.460,40.670,46.200,318516,,,9.3750,hfq
2013-09-24,45.490,46.150,44.400,44.610,200045,,,-3.4416,hfq
2013-09-25,44.010,47.140,44.000,45.050,171651,,,0.9863,hfq
2013-09-26,44.650,45.070,42.450,43.000,146808,,,-4.5505,hfq
2013-09-27,43.000,44.300,42.670,43.000,85614,,,0.0000,hfq
2013-09-30,42.990,43.800,42.880,43.240,76682,,,0.5581,hfq
2013-10-08,43.000,45.210,42.900,44.990,111129,,,4.0472,hfq
2013-10-09,44.650,45.540,44.000,44.680,83054,,,-0.6890,hfq
2013-10-10,44.500,46.360,44.140,45.710,156256,,,2.3053,hfq
2013-10-11,46.000,46.050,45.250,45.530,79697,,,-0.3938,hfq
2013-10-14,45.520,46.330,44.600,46.000,96467,,,1.0323,hfq
2013-10-15,46.000,46.000,44.850,45.150,92419,,,-1.8478,hfq
2013-10-16,44.760,45.880,43.700,44.670,89183,,,-1.0631,hfq
2013-10-17,44.680,45.100,44.220,44.610,55526,,,-0.1343,hfq
2013-10-18,44.520,46.800,44.300,46.010,104209,,,3.1383,hfq
2013-10-21,46.200,48.100,45.680,47.850,135658,,,3.9991,hfq
2013-10-22,47.400,48.310,46.880,47.420,82147,,,-0.8986,hfq
2013-10-23,47.470,48.430,45.900,46.090,87290,,,-2.8047,hfq
2013-10-24,46.000,49.600,45.840,47.500,122184,,,3.0592,hfq
2013-10-25,47.430,48.850,47.110,47.700,102336,,,0.4211,hfq
2013-10-28,47.970,49.500,47.500,49.470,104467,,,3.7107,hfq
2013-10-29,49.100,49.680,48.010,48.930,96525,,,-1.0916,hfq
2013-10-30,49.010,50.660,48.650,50.170,121285,,,2.5342,hfq
2013-10-31,50.680,50.800,47.930,48.400,100732,,,-3.5280,hfq
2013-11-01,47.790,48.790,47.330,47.760,72057,,,-1.3223,hfq
2013-11-04,47.600,48.500,47.600,47.990,49622,,,0.4816,hfq
2013-11-05,47.520,48.410,47.080,48.190,54750,,,0.4168,hfq
2013-11-06,47.980,48.230,46.210,46.750,60251,,,-2.9882,hfq
2013-11-07,46.520,46.930,45.160,46.220,62056,,,-1.1337,hfq
2013-11-08,45.800,46.200,45.330,45.660,33411,,,-1.2116,hfq
2013-11-11,45.690,46.000,44.610,45.780,35809,,,0.2628,hfq
2013-11-12,45.880,47.020,45.500,46.350,64729,,,1.2451,hfq
2013-11-13,45.860,46.340,45.500,45.500,30484,,,-1.8339,hfq
2013-11-14,45.550,46.320,44.670,46.000,54360,,,1.0989,hfq
