trade_date,open,high,low,close,volume,amount,turnover,pct_change,adjust
1992-12-03,16.000,18.800,16.000,18.110,15343,,,,hfq
1992-12-04,18.000,19.000,15.800,16.480,4982,,,-9.0006,hfq
1992-12-07,14.900,16.800,14.900,16.000,6805,,,-2.9126,hfq
1992-12-08,16.110,16.600,14.555,14.950,10752,,,-6.5625,hfq
1992-12-09,14.110,15.100,12.000,12.300,6031,,,-17.7258,hfq
1992-12-10,115.000,145.000,109.500,115.000,6357,,,834.9593,hfq
1992-12-11,115.500,144.000,115.500,137.000,7498,,,19.1304,hfq
1992-12-14,141.000,141.000,125.000,131.000,4775,,,-4.3796,hfq
1992-12-15,130.500,136.800,125.000,127.900,3311,,,-2.3664,hfq
1992-12-16,121.000,130.000,121.000,127.000,1725,,,-0.7037,hfq
1992-12-17,127.000,132.500,127.000,132.500,2337,,,4.3307,hfq
1992-12-18,135.000,136.000,128.000,129.800,2362,,,-2.0377,hfq
1992-12-21,128.000,140.000,128.000,133.500,5305,,,2.8505,hfq
1992-12-22,134.000,137.000,131.300,131.300,3561,,,-1.6479,hfq
1992-12-23,130.000,134.500,130.000,131.700,1114,,,0.3046,hfq
1992-12-24,134.000,136.000,130.300,135.700,2936,,,3.0372,hfq
1992-12-25,135.700,138.800,132.000,133.000,4627,,,-1.9897,hfq
1992-12-28,135.000,136.000,131.000,131.000,2267,,,-1.5038,hfq
1992-12-29,133.500,133.500,128.100,132.500,1592,,,1.1450,hfq
1992-12-30,133.000,137.000,133.000,135.100,3945,,,1.9623,hfq
1992-12-31,135.500,142.900,131.500,140.200,5119,,,3.7750,hfq
1993-01-04,142.000,155.000,142.000,152.800,5874,,,8.9872,hfq
1993-01-05,154.600,170.000,153.000,163.900,7212,,,7.2644,hfq
1993-01-06,170.000,170.000,155.000,158.000,10257,,,-3.5998,hfq
1993-01-07,156.000,163.500,156.000,162.800,5296,,,3.0380,hfq
1993-01-08,164.000,174.400,164.000,172.500,13232,,,5.9582,hfq
1993-01-11,180.000,198.000,176.500,193.700,18010,,,12.2899,hfq
1993-01-12,200.000,202.300,184.000,191.000,13771,,,-1.3939,hfq
1993-01-13,190.000,200.900,188.000,200.000,11371,,,4.7120,hfq
1993-01-14,210.000,214.000,202.300,214.000,14965,,,7.0000,hfq
1993-01-15,214.000,215.000,203.000,207.000,9952,,,-3.2710,hfq
1993-01-18,202.000,211.000,201.500,202.100,4444,,,-2.3671,hfq
1993-01-19,205.000,207.100,181.000,190.100,6093,,,-5.9377,hfq
1993-01-20,181.100,202.000,181.000,199.800,4839,,,5.1026,hfq
1993-01-21,201.800,209.000,200.000,208.000,4732,,,4.1041,hfq
1993-01-22,220.000,220.000,202.000,211.000,5316,,,1.4423,hfq
1993-01-27,215.000,225.900,210.500,225.500,7905,,,6.8720,hfq
1993-01-28,229.500,235.000,220.100,223.000,7937,,,-1.1086,hfq
1993-01-29,225.900,232.900,223.100,232.000,7158,,,4.0359,hfq
1993-02-01,240.000,269.000,240.000,264.800,12314,,,14.1379,hfq
1993-02-02,268.000,275.000,265.000,271.000,9585,,,2.3414,hfq
