trade_date,open,high,low,close,volume,amount,turnover,pct_change,adjust
2015-12-04,22.800,32.990,22.100,29.350,1767140,,,,hfq
2015-12-07,27.660,28.600,26.420,26.420,1132040,,,-9.9830,hfq
2015-12-08,24.510,24.980,23.780,23.780,537063,,,-9.9924,hfq
2015-12-09,22.410,26.160,22.410,26.160,1686560,,,10.0084,hfq
2015-12-10,25.290,26.750,23.660,24.270,1242427,,,-7.2248,hfq
2015-12-11,23.960,23.960,22.400,22.600,868532,,,-6.8809,hfq
2015-12-14,22.360,22.360,21.270,21.890,643220,,,-3.1416,hfq
2015-12-15,22.100,23.310,21.660,22.650,861655,,,3.4719,hfq
2015-12-16,22.280,22.400,21.800,21.910,564671,,,-3.2671,hfq
2015-12-17,22.100,22.990,21.930,22.370,711849,,,2.0995,hfq
2015-12-18,22.070,22.780,21.910,22.160,571124,,,-0.9388,hfq
2015-12-21,21.900,22.100,21.500,21.870,447821,,,-1.3087,hfq
2015-12-22,21.870,22.090,21.440,21.630,401899,,,-1.0974,hfq
2015-12-23,21.510,21.970,21.390,21.680,435052,,,0.2312,hfq
2015-12-24,21.670,23.850,21.600,23.230,1047383,,,7.1494,hfq
2015-12-25,22.730,22.960,22.200,22.330,562825,,,-3.8743,hfq
2015-12-28,22.600,22.770,21.530,21.580,468441,,,-3.3587,hfq
2015-12-29,21.580,21.990,21.270,21.980,316653,,,1.8536,hfq
2015-12-30,21.800,21.880,21.410,21.600,281671,,,-1.7288,hfq
2015-12-31,21.520,21.560,20.280,20.310,465949,,,-5.9722,hfq
2016-01-04,20.180,20.180,18.280,18.290,393817,,,-9.9458,hfq
2016-01-05,17.300,18.230,16.590,17.520,445079,,,-4.2100,hfq
2016-01-06,17.630,18.220,17.530,18.090,386847,,,3.2534,hfq
2016-01-07,17.600,17.650,16.280,16.280,111211,,,-10.0055,hfq
2016-01-08,16.850,16.990,15.000,16.020,393904,,,-1.5971,hfq
2016-01-11,15.520,15.760,14.420,14.420,362510,,,-9.9875,hfq
2016-01-12,14.440,15.180,14.030,14.780,397973,,,2.4965,hfq
2016-01-13,14.820,15.050,14.070,14.280,327643,,,-3.3829,hfq
2016-01-14,13.700,14.800,13.610,14.660,316305,,,2.6611,hfq
2016-01-15,14.490,14.660,13.400,13.650,303253,,,-6.8895,hfq
2016-01-18,13.280,14.180,13.280,13.880,271334,,,1.6850,hfq
2016-01-19,13.790,14.590,13.710,14.490,335142,,,4.3948,hfq
2016-01-20,14.300,14.440,13.960,14.080,312544,,,-2.8295,hfq
2016-01-21,13.760,14.250,13.500,13.540,278577,,,-3.8352,hfq
2016-01-25,13.360,14.190,12.890,14.150,427727,,,4.5052,hfq
2016-01-26,13.660,13.970,12.740,12.740,347293,,,-9.9647,hfq
2016-01-27,12.800,12.940,11.720,12.330,296658,,,-3.2182,hfq
2016-01-28,12.110,12.380,11.410,11.620,217911,,,-5.7583,hfq
2016-01-29,11.990,12.450,11.720,12.200,267474,,,4.9914,hfq
2016-02-01,12.350,12.500,12.030,12.240,234843,,,0.3279,hfq
2016-02-02,12.370,12.950,12.280,12.650,288438,,,3.3497,hfq
2016-02-03,12.800,13.460,12.580,12.950,360659,,,2.3715,hfq
2016-02-04,12.800,13.300,12.750,13.180,289371,,,1.7761,hfq
2016-02-05,13.550,13.650,13.000,13.010,263016,,,-1.2898,hfq
2016-02-15,12.550,12.880,12.450,12.750,186862,,,-1.9985,hfq
2016-02-16,12.860,13.500,12.830,13.380,277178,,,4.9412,hfq
2016-02-17,13.390,13.550,13.110,13.510,315340,,,0.9716,hfq
2016-02-18,13.980,14.860,13.690,14.860,790720,,,9.9926,hfq
2016-02-19,14.450,14.760,14.350,14.520,513216,,,-2.2880,hfq
2016-02-22,14.870,15.570,14.700,15.050,542754,,,3.6501,hfq
2016-02-23,14.930,15.000,14.500,14.700,325983,,,-2.3256,hfq
2016-02-24,14.580,14.860,14.230,14.650,263059,,,-0.3401,hfq
2016-02-25,14.570,14.580,13.190,13.190,335292,,,-9.9659,hfq
2016-03-09,14.510,14.510,13.830,13.860,496873,,,5.0796,hfq
2016-03-10,13.520,13.860,12.950,13.020,301112,,,-6.0606,hfq
2016-03-11,12.860,12.880,12.520,12.770,179380,,,-1.9201,hfq
2016-03-14,12.980,13.390,12.810,13.250,229516,,,3.7588,hfq
2016-03-15,13.230,13.450,13.110,13.200,169489,,,-0.3774,hfq
2016-03-16,13.250,13.380,12.820,12.900,145701,,,-2.2727,hfq
2016-03-17,13.020,13.280,12.870,13.210,183252,,,2.4031,hfq
2016-03-18,13.270,14.500,13.220,14.240,419753,,,7.7971,hfq
2016-03-21,14.240,14.750,14.240,14.520,408166,,,1.9663,hfq
2016-03-22,14.400,14.400,14.130,14.230,277013,,,-1.9972,hfq
2016-03-23,14.070,14.490,14.070,14.410,235743,,,1.2649,hfq
2016-03-24,14.260,14.630,14.110,14.190,306619,,,-1.5267,hfq
2016-03-25,14.150,14.340,14.000,14.180,180523,,,-0.0705,hfq
2016-03-28,14.170,14.280,13.900,13.910,201513,,,-1.9041,hfq
2016-03-29,13.890,13.900,13.000,13.310,212919,,,-4.3134,hfq
2016-03-30,13.320,13.770,13.320,13.730,174053,,,3.1555,hfq
2016-03-31,13.720,13.900,13.680,13.760,154514,,,0.2185,hfq
2016-04-01,13.610,13.730,13.320,13.610,137374,,,-1.0901,hfq
2016-04-05,13.640,14.280,13.620,14.170,220823,,,4.1146,hfq
2016-04-06,14.060,14.240,14.010,14.190,174758,,,0.1411,hfq
2016-04-07,14.230,14.590,14.000,14.070,279970,,,-0.8457,hfq
2016-04-08,13.900,13.950,13.610,13.830,169204,,,-1.7058,hfq
2016-04-11,13.900,14.270,13.890,14.160,199607,,,2.3861,hfq
2016-04-12,14.160,14.340,13.940,14.290,196104,,,0.9181,hfq
2016-04-13,14.550,14.580,14.340,14.360,311694,,,0.4899,hfq
2016-04-14,14.520,15.250,14.400,15.230,473711,,,6.0585,hfq
2016-04-15,15.400,15.400,14.910,15.020,306169,,,-1.3789,hfq
2016-04-18,15.000,15.000,14.600,14.750,194846,,,-1.7976,hfq
2016-04-19,14.900,15.370,14.900,15.210,282988,,,3.1186,hfq
2016-04-20,15.250,15.270,14.010,14.480,322661,,,-4.7995,hfq
2016-04-21,14.603,15.253,14.447,14.525,226771,,,0.3108,hfq
2016-04-22,14.096,14.213,13.654,14.044,249566,,,-3.3115,hfq
2016-04-25,14.018,14.018,13.303,13.537,188799,,,-3.6101,hfq
2016-04-26,13.511,13.771,13.498,13.758,141264,,,1.6326,hfq
2016-04-27,13.784,14.070,13.628,13.862,176243,,,0.7559,hfq
2016-04-28,13.498,13.589,13.108,13.290,292799,,,-4.1264,hfq
2016-04-29,13.173,13.251,13.004,13.147,147215,,,-1.0760,hfq
2016-05-03,13.264,13.446,13.108,13.433,167492,,,2.1754,hfq
2016-05-04,13.368,13.459,13.264,13.355,140828,,,-0.5807,hfq
2016-05-05,13.368,13.641,13.277,13.511,162040,,,1.1681,hfq
2016-05-06,13.576,13.615,13.043,13.056,198149,,,-3.3676,hfq
2016-05-09,12.913,12.926,12.198,12.224,200882,,,-6.3725,hfq
2016-05-10,12.263,12.354,12.068,12.172,94568,,,-0.4254,hfq
2016-05-11,12.263,12.302,12.081,12.094,83635,,,-0.6408,hfq
2016-05-12,11.912,11.951,11.652,11.925,124168,,,-1.3974,hfq
2016-05-13,11.834,12.029,11.808,11.938,89529,,,0.1090,hfq
2016-05-16,11.925,12.094,11.886,12.081,79884,,,1.1979,hfq
2016-05-17,12.094,12.146,11.925,12.003,81140,,,-0.6456,hfq
2016-05-18,11.938,11.938,11.496,11.613,117832,,,-3.2492,hfq
2016-05-19,11.587,11.847,11.548,11.639,94490,,,0.2239,hfq
2016-05-20,11.561,11.756,11.496,11.756,83542,,,1.0052,hfq
2016-05-23,11.808,12.029,11.756,11.990,118621,,,1.9905,hfq
2016-05-24,11.951,12.003,11.717,11.821,84117,,,-1.4095,hfq
2016-05-25,11.886,11.925,11.678,11.691,64080,,,-1.0997,hfq
2016-05-26,11.730,11.782,11.431,11.678,84656,,,-0.1112,hfq
2016-05-27,11.691,11.912,11.587,11.821,88936,,,1.2245,hfq
2016-05-30,11.769,11.808,11.574,11.665,67571,,,-1.3197,hfq
2016-05-31,11.743,12.068,11.678,12.055,161626,,,3.3433,hfq
2016-06-01,12.068,12.328,12.003,12.133,169195,,,0.6470,hfq
2016-06-02,12.081,12.185,11.964,12.133,147592,,,0.0000,hfq
2016-06-03,12.133,12.250,12.029,12.159,139990,,,0.2143,hfq
2016-06-06,12.276,12.406,12.146,12.250,167012,,,0.7484,hfq
2016-06-07,12.237,12.250,12.042,12.120,102754,,,-1.0612,hfq
2016-06-08,12.094,12.250,12.042,12.185,104961,,,0.5363,hfq
2016-06-13,12.068,12.107,11.626,11.691,132000,,,-4.0542,hfq
2016-06-14,11.678,12.016,11.652,11.834,111481,,,1.2232,hfq
2016-06-15,11.769,12.107,11.652,12.068,156325,,,1.9774,hfq
2016-06-16,12.068,12.081,11.860,11.899,118880,,,-1.4004,hfq
2016-06-17,12.003,12.198,11.938,12.029,129873,,,1.0925,hfq
2016-06-20,12.068,12.068,11.886,11.990,81653,,,-0.3242,hfq
2016-06-21,12.185,12.224,11.912,11.925,151291,,,-0.5421,hfq
2016-06-22,12.003,12.055,11.899,12.042,75850,,,0.9811,hfq
2016-06-23,12.198,12.978,12.172,12.549,376290,,,4.2103,hfq
2016-06-24,12.341,12.523,11.821,12.094,222537,,,-3.6258,hfq
2016-06-27,12.042,12.250,11.964,12.224,130065,,,1.0749,hfq
2016-06-28,12.172,12.250,12.042,12.224,132560,,,0.0000,hfq
2016-06-29,12.276,12.276,12.172,12.237,126683,,,0.1063,hfq
2016-06-30,12.224,12.289,12.068,12.146,118227,,,-0.7436,hfq
2016-07-01,12.328,13.355,12.328,13.355,742415,,,9.9539,hfq
2016-07-04,13.368,14.239,13.342,13.979,891679,,,4.6724,hfq
2016-07-05,13.758,14.603,13.602,14.486,646902,,,3.6269,hfq
2016-07-06,14.278,14.928,14.148,14.226,566521,,,-1.7948,hfq
2016-07-07,14.096,14.213,13.862,14.096,367572,,,-0.9138,hfq
2016-07-08,14.096,14.226,13.901,13.940,212499,,,-1.1067,hfq
2016-07-11,14.148,14.239,13.823,13.875,254890,,,-0.4663,hfq
2016-07-12,13.810,14.239,13.589,14.148,295908,,,1.9676,hfq
2016-07-13,14.148,14.850,14.148,14.603,420324,,,3.2160,hfq
2016-07-14,14.538,15.084,14.434,14.707,392394,,,0.7122,hfq
2016-07-15,14.733,14.798,14.629,14.668,223614,,,-0.2652,hfq
2016-07-18,14.629,14.733,14.317,14.603,193539,,,-0.4431,hfq
2016-07-19,14.577,14.707,14.369,14.525,181165,,,-0.5341,hfq
2016-07-20,14.538,14.590,14.369,14.486,133476,,,-0.2685,hfq
2016-07-21,14.486,15.032,14.382,14.824,266831,,,2.3333,hfq
2016-07-22,14.824,14.993,14.538,14.551,198126,,,-1.8416,hfq
2016-07-25,14.551,14.655,14.278,14.499,147417,,,-0.3574,hfq
2016-07-26,14.499,14.746,14.408,14.629,99318,,,0.8966,hfq
2016-07-27,14.642,14.707,13.576,13.901,287921,,,-4.9764,hfq
2016-07-28,13.901,13.966,13.524,13.901,148381,,,0.0000,hfq
2016-07-29,13.875,14.356,13.797,13.966,215142,,,0.4676,hfq
2016-08-01,13.992,14.330,13.927,14.031,178232,,,0.4654,hfq
2016-08-02,14.148,14.967,14.070,14.941,345886,,,6.4856,hfq
2016-08-03,14.928,16.423,14.811,16.202,641845,,,8.4399,hfq
2016-08-04,16.098,16.137,15.591,15.825,435946,,,-2.3269,hfq
2016-08-05,15.864,16.137,15.539,15.669,322117,,,-0.9858,hfq
2016-08-08,15.591,16.800,15.344,16.449,499387,,,4.9780,hfq
2016-08-09,16.397,16.722,16.163,16.449,295860,,,0.0000,hfq
2016-08-10,16.358,16.410,15.864,15.890,259702,,,-3.3984,hfq
2016-08-11,15.851,16.072,15.682,15.877,188163,,,-0.0818,hfq
2016-08-12,15.864,17.008,15.799,16.865,489590,,,6.2228,hfq
2016-08-15,17.073,18.152,16.891,17.931,753083,,,6.3208,hfq
2016-08-16,17.918,18.139,17.359,17.372,435952,,,-3.1175,hfq
2016-08-17,17.307,17.632,16.891,17.502,326138,,,0.7483,hfq
2016-08-18,17.502,18.620,17.281,17.593,536712,,,0.5199,hfq
2016-08-19,17.632,17.944,17.138,17.489,290423,,,-0.5911,hfq
2016-08-22,17.424,17.827,17.203,17.242,217910,,,-1.4123,hfq
