trade_date,open,high,low,close,volume,amount,turnover,pct_change,adjust
2003-01-06,5.530,5.580,4.970,5.010,1942886,,,,hfq
2003-01-07,4.960,5.050,4.820,4.850,589777,,,-3.1936,hfq
2003-01-08,4.830,5.340,4.810,5.340,720641,,,10.1031,hfq
2003-01-09,5.650,5.870,5.610,5.870,1100869,,,9.9251,hfq
2003-01-10,6.190,6.460,6.110,6.210,2063934,,,5.7922,hfq
2003-01-13,6.300,6.490,6.100,6.300,1091783,,,1.4493,hfq
2003-01-14,6.270,6.900,6.180,6.540,1494813,,,3.8095,hfq
2003-01-15,6.500,6.880,6.410,6.820,1381750,,,4.2813,hfq
2003-01-16,6.820,6.980,6.650,6.810,654832,,,-0.1466,hfq
2003-01-17,6.810,6.840,6.530,6.550,653588,,,-3.8179,hfq
2003-01-20,6.480,6.990,6.430,6.820,691818,,,4.1221,hfq
2003-01-21,6.860,6.890,6.520,6.580,428631,,,-3.5191,hfq
2003-01-22,6.570,6.650,6.440,6.490,320353,,,-1.3678,hfq
2003-01-23,6.490,6.750,6.460,6.500,315386,,,0.1541,hfq
2003-01-24,6.500,7.140,6.490,6.970,927071,,,7.2308,hfq
2003-01-27,6.940,7.050,6.810,6.960,394739,,,-0.1435,hfq
2003-01-28,6.970,7.090,6.880,7.040,259664,,,1.1494,hfq
2003-01-29,7.050,7.080,6.890,6.910,296210,,,-1.8466,hfq
2003-02-10,6.900,6.900,6.730,6.760,218761,,,-2.1708,hfq
2003-02-11,6.730,6.830,6.720,6.820,104957,,,0.8876,hfq
2003-02-12,6.800,6.990,6.730,6.970,201380,,,2.1994,hfq
2003-02-13,6.990,7.190,6.910,6.920,398722,,,-0.7174,hfq
2003-02-14,6.900,7.020,6.850,6.940,159965,,,0.2890,hfq
2003-02-17,6.940,6.980,6.750,6.800,204102,,,-2.0173,hfq
2003-02-18,6.810,6.940,6.770,6.870,110184,,,1.0294,hfq
2003-02-19,6.850,7.030,6.840,6.930,195916,,,0.8734,hfq
2003-02-20,6.950,7.030,6.850,6.870,135891,,,-0.8658,hfq
2003-02-21,6.880,6.900,6.670,6.700,251955,,,-2.4745,hfq
2003-02-24,6.700,6.790,6.690,6.690,101463,,,-0.1493,hfq
2003-02-25,6.700,6.930,6.700,6.870,166711,,,2.6906,hfq
2003-02-26,6.890,6.980,6.830,6.870,131322,,,0.0000,hfq
2003-02-27,6.900,6.980,6.840,6.870,126053,,,0.0000,hfq
2003-02-28,6.900,6.930,6.820,6.870,76059,,,0.0000,hfq
2003-03-03,6.860,6.950,6.850,6.940,121379,,,1.0189,hfq
2003-03-04,6.950,7.130,6.920,7.020,312729,,,1.1527,hfq
2003-03-05,7.020,7.030,6.880,6.910,147517,,,-1.5670,hfq
2003-03-06,6.930,6.950,6.780,6.810,139657,,,-1.4472,hfq
2003-03-07,6.800,6.850,6.760,6.770,76618,,,-0.5874,hfq
2003-03-10,6.780,6.830,6.670,6.680,121459,,,-1.3294,hfq
2003-03-11,6.660,6.770,6.660,6.700,46837,,,0.2994,hfq
2003-03-12,6.700,6.730,6.490,6.550,125321,,,-2.2388,hfq
2003-03-13,6.550,6.610,6.490,6.490,66903,,,-0.9160,hfq
2003-03-14,6.490,6.580,6.470,6.480,53128,,,-0.1541,hfq
2003-03-17,6.480,6.580,6.460,6.570,68784,,,1.3889,hfq
2003-03-18,6.590,6.680,6.510,6.540,81619,,,-0.4566,hfq
2003-03-19,6.510,6.670,6.420,6.590,106823,,,0.7645,hfq
2003-03-20,6.570,6.680,6.540,6.600,71694,,,0.1517,hfq
2003-03-21,6.590,6.640,6.540,6.600,52102,,,0.0000,hfq
2003-03-24,6.600,6.640,6.490,6.540,60242,,,-0.9091,hfq
2003-03-25,6.500,6.540,6.260,6.270,226220,,,-4.1284,hfq
2003-03-26,6.250,6.330,6.180,6.210,123286,,,-0.9569,hfq
2003-03-27,6.190,6.770,6.160,6.630,412638,,,6.7633,hfq
2003-03-28,6.600,6.810,6.580,6.660,321905,,,0.4525,hfq
2003-03-31,6.660,6.780,6.630,6.700,112863,,,0.6006,hfq
2003-04-01,6.700,7.050,6.700,6.990,326294,,,4.3284,hfq
2003-04-02,6.980,7.120,6.900,7.100,399274,,,1.5737,hfq
2003-04-03,7.150,7.310,7.020,7.050,358007,,,-0.7042,hfq
2003-04-04,7.100,7.240,6.990,7.210,300995,,,2.2695,hfq
2003-04-07,7.150,7.460,7.150,7.300,410874,,,1.2483,hfq
2003-04-08,7.310,7.500,7.280,7.400,236192,,,1.3699,hfq
2003-04-09,7.400,8.140,7.390,8.110,735568,,,9.5946,hfq
2003-04-10,8.210,8.320,7.920,8.060,792411,,,-0.6165,hfq
2003-04-11,8.050,8.280,7.950,8.110,432813,,,0.6203,hfq
2003-04-14,8.110,8.780,8.100,8.660,518027,,,6.7818,hfq
2003-04-15,8.500,8.990,8.430,8.690,378601,,,0.3464,hfq
2003-04-16,8.690,9.280,8.420,8.590,560715,,,-1.1507,hfq
2003-04-17,8.580,8.770,8.350,8.500,333260,,,-1.0477,hfq
2003-04-18,8.510,8.570,8.180,8.210,283711,,,-3.4118,hfq
2003-04-21,8.150,8.180,7.560,7.870,472365,,,-4.1413,hfq
2003-04-22,7.820,7.990,7.700,7.870,236120,,,0.0000,hfq
2003-04-23,7.800,7.940,7.650,7.700,184261,,,-2.1601,hfq
2003-04-24,7.610,7.730,7.390,7.600,305501,,,-1.2987,hfq
2003-04-25,7.610,7.780,7.430,7.550,226949,,,-0.6579,hfq
2003-04-28,7.510,8.310,7.400,8.310,508798,,,10.0662,hfq
2003-04-29,8.200,8.330,8.030,8.120,452129,,,-2.2864,hfq
2003-04-30,8.110,8.480,8.100,8.210,345904,,,1.1084,hfq
2003-05-12,8.210,8.580,8.020,8.460,231705,,,3.0451,hfq
