trade_date,open,high,low,close,volume,amount,turnover,pct_change,adjust
1999-04-22,5.220,5.880,5.120,5.730,457663,,,,hfq
1999-04-23,5.590,5.930,5.450,5.760,239465,,,0.5236,hfq
1999-04-26,5.770,5.780,5.300,5.330,105885,,,-7.4653,hfq
1999-04-27,5.290,5.840,5.210,5.690,151616,,,6.7542,hfq
1999-04-28,5.660,5.750,5.410,5.500,65144,,,-3.3392,hfq
1999-04-29,5.450,5.720,5.400,5.600,47980,,,1.8182,hfq
1999-04-30,5.610,5.970,5.610,5.830,108298,,,4.1071,hfq
1999-05-04,5.920,5.970,5.750,5.860,65426,,,0.5146,hfq
1999-05-05,5.860,5.870,5.650,5.790,45074,,,-1.1945,hfq
1999-05-06,5.800,5.870,5.680,5.720,37372,,,-1.2090,hfq
1999-05-07,5.720,5.750,5.510,5.530,45022,,,-3.3217,hfq
1999-05-10,5.390,5.490,5.190,5.270,45058,,,-4.7016,hfq
1999-05-11,5.280,5.440,5.280,5.430,17805,,,3.0361,hfq
1999-05-12,5.420,5.420,5.280,5.320,14704,,,-2.0258,hfq
1999-05-13,5.300,5.380,5.230,5.310,11687,,,-0.1880,hfq
1999-05-14,5.260,5.300,5.000,5.010,24739,,,-5.6497,hfq
1999-05-17,5.010,5.120,4.910,5.060,13600,,,0.9980,hfq
1999-05-18,5.070,5.180,5.000,5.000,11968,,,-1.1858,hfq
1999-05-19,4.990,5.400,4.990,5.370,29562,,,7.4000,hfq
1999-05-20,5.400,5.570,5.310,5.530,46629,,,2.9795,hfq
1999-05-21,5.550,5.650,5.380,5.440,46965,,,-1.6275,hfq
1999-05-24,5.460,5.780,5.390,5.700,65645,,,4.7794,hfq
1999-05-25,5.750,5.780,5.480,5.480,62270,,,-3.8596,hfq
1999-05-26,5.450,5.680,5.430,5.640,30391,,,2.9197,hfq
1999-05-27,5.710,6.200,5.710,6.200,70138,,,9.9291,hfq
1999-05-28,6.500,6.600,5.910,6.080,114213,,,-1.9355,hfq
1999-05-31,6.150,6.470,5.900,6.060,81584,,,-0.3289,hfq
1999-06-01,6.100,6.360,6.010,6.360,64409,,,4.9505,hfq
1999-06-02,6.400,6.490,6.080,6.100,68434,,,-4.0881,hfq
