experiment_id,hypothesis_id,object_id,birth_model,direction_source,logic,expected_direction,primary_horizon,split_version,split_fingerprint,calibration_version,calibration_fit_hash,status,pending_fdr,train_event_count,train_pool_count,train_positive_rate,validation_event_count,validation_pool_count,validation_positive_rate,oos_event_count,oos_pool_count,oos_positive_rate,oos_hit_rate_min,oos_hit_rate_max,oos_hit_rate_std,oos_dates_above_60pct,oos_dates_below_5pct,oos_sample_count,oos_eligible_stock_count,oos_coverage_start,oos_coverage_end,train_mean_excess_return,validation_mean_excess_return,oos_mean_return,oos_mean_excess_return,oos_up_rate,oos_excess_up_rate,oos_sign,validation_sign,overlap_ratio,non_overlapping_event_count,non_overlapping_mean_excess_return,positive_year_ratio,sign_consistency,year_count,top_1_contribution,top_5_contribution,loo_sign_flip_count,loo_mean_min,loo_mean_max,stock_count,single_name_dependent,control_jaccard,control_mean_excess_return,control_p_value,control_p_value_lower,control_event_count,gate_version,git_sha,dataset_version,universe_version,label_version,factor_rule_version,bazi_engine_version,ziwei_engine_version,huangli_engine_version,warnings
OOS3D--HYP-ZW-CAL-001--listing_close_v1,HYP-ZW-CAL-001,ziwei_calibrated,listing_close_v1,calibrated,single,positive,20,phase3-oos-v1,6a059b3dbe54f22d,cal-v1,7e9897570d3b5a28,INCONCLUSIVE,False,2669,10647,0.250681,1920,5246,0.365993,791,3529,0.224143,0.093385,0.327273,0.054186,0,0,720,149,2023-01-03,2026-08-14,-0.001219,-0.060544,-0.026758,-0.025834,0.4625,0.440278,-1,-1,0.0,791,-0.025834,0.0,1.0,4,0.03244,0.138871,0,-0.027535,-0.024026,145,False,0.126771,-0.022674,0.6915422885572139,0.31343283582089554,720,phase3d-oos-gate-v1,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,phase3d-hfq-adjfactor-v1,v1.1,smx-bazi-native-1.0.0,iztro-2.6.1+smx-1.0.0,huangli-engine-1.0.0,
OOS3D--HYP-ZW-CAL-001--ipo_approx_v1,HYP-ZW-CAL-001,ziwei_calibrated,ipo_approx_v1,calibrated,single,positive,20,phase3-oos-v1,6a059b3dbe54f22d,cal-v1,7e9897570d3b5a28,WEAK_EVIDENCE,False,2664,10647,0.250211,1826,5246,0.348075,816,3529,0.231227,0.143969,0.363636,0.057887,0,0,743,142,2023-01-03,2026-08-14,-0.000214,-0.054885,-0.021886,-0.018489,0.46568,0.444145,-1,-1,0.002451,815,-0.018489,0.25,0.75,4,0.039417,0.179816,0,-0.020191,-0.016319,134,False,0.106458,-0.02312,0.17412935323383086,0.8308457711442786,743,phase3d-oos-gate-v1,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,phase3d-hfq-adjfactor-v1,v1.1,smx-bazi-native-1.0.0,iztro-2.6.1+smx-1.0.0,huangli-engine-1.0.0,IPO_APPROXIMATION_WARNING：本结果的出生时间使用 ipo_approx_v1 近似口径（TuShare ipo_date 近似），**不是真实公司成立时间**，不得描述为『真实 IPO 出生时间』。
OOS3D--HYP-HL-RAW-001--listing_open_v1,HYP-HL-RAW-001,huangli_raw,listing_open_v1,raw,single,positive,20,phase3-oos-v1,6a059b3dbe54f22d,cal-v1,7e9897570d3b5a28,INCONCLUSIVE,False,4895,10647,0.459754,2197,5246,0.418795,1500,3529,0.42505,0.054545,0.944882,0.339042,6,0,1459,278,2023-01-03,2026-08-14,0.008808,-0.047833,-0.045222,-0.039415,0.41878,0.410555,-1,-1,0.0,1500,-0.039415,0.25,0.75,4,0.015233,0.07277,0,-0.040153,-0.038595,271,False,0.243277,-0.022452,1.0,0.004975124378109453,1459,phase3d-oos-gate-v1,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,phase3d-hfq-adjfactor-v1,v1.1,smx-bazi-native-1.0.0,iztro-2.6.1+smx-1.0.0,huangli-engine-1.0.0,
OOS3D--HYP-HL-RAW-001--listing_close_v1,HYP-HL-RAW-001,huangli_raw,listing_close_v1,raw,single,positive,20,phase3-oos-v1,6a059b3dbe54f22d,cal-v1,7e9897570d3b5a28,INCONCLUSIVE,False,5219,10647,0.490185,2381,5246,0.45387,1509,3529,0.4276,0.006061,0.912,0.291481,4,2,1469,289,2023-01-03,2026-08-14,0.007887,-0.050079,-0.04625,-0.043881,0.425459,0.40776,-1,-1,0.001325,1508,-0.043881,0.0,1.0,4,0.017904,0.080934,0,-0.044703,-0.042922,280,False,0.279759,-0.022962,1.0,0.004975124378109453,1469,phase3d-oos-gate-v1,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,phase3d-hfq-adjfactor-v1,v1.1,smx-bazi-native-1.0.0,iztro-2.6.1+smx-1.0.0,huangli-engine-1.0.0,
OOS3D--HYP-HL-RAW-001--ipo_approx_v1,HYP-HL-RAW-001,huangli_raw,ipo_approx_v1,raw,single,positive,20,phase3-oos-v1,6a059b3dbe54f22d,cal-v1,7e9897570d3b5a28,INCONCLUSIVE,False,4903,10647,0.460505,2182,5246,0.415936,1502,3529,0.425616,0.048485,0.948819,0.350102,6,1,1459,279,2023-01-03,2026-08-14,0.015708,-0.052155,-0.044898,-0.040068,0.425634,0.395476,-1,-1,0.001332,1501,-0.039338,0.25,0.75,4,0.029578,0.090331,0,-0.041079,-0.038358,270,False,0.260536,-0.023248,1.0,0.004975124378109453,1459,phase3d-oos-gate-v1,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,phase3d-hfq-adjfactor-v1,v1.1,smx-bazi-native-1.0.0,iztro-2.6.1+smx-1.0.0,huangli-engine-1.0.0,IPO_APPROXIMATION_WARNING：本结果的出生时间使用 ipo_approx_v1 近似口径（TuShare ipo_date 近似），**不是真实公司成立时间**，不得描述为『真实 IPO 出生时间』。
OOS3D--HYP-HL-CAL-001--listing_open_v1,HYP-HL-CAL-001,huangli_calibrated,listing_open_v1,calibrated,single,positive,20,phase3-oos-v1,6a059b3dbe54f22d,cal-v1,7e9897570d3b5a28,INCONCLUSIVE,False,2653,10647,0.249178,978,5246,0.186428,854,3529,0.241995,0.0,0.775591,0.269299,2,7,837,266,2023-01-03,2026-07-01,0.018017,-0.049853,-0.055717,-0.047939,0.394265,0.382318,-1,-1,0.0,854,-0.047939,0.25,0.75,4,0.021262,0.098183,0,-0.049323,-0.04659,258,False,0.130348,-0.021932,1.0,0.004975124378109453,837,phase3d-oos-gate-v1,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,phase3d-hfq-adjfactor-v1,v1.1,smx-bazi-native-1.0.0,iztro-2.6.1+smx-1.0.0,huangli-engine-1.0.0,
OOS3D--HYP-HL-CAL-001--listing_close_v1,HYP-HL-CAL-001,huangli_calibrated,listing_close_v1,calibrated,single,positive,20,phase3-oos-v1,6a059b3dbe54f22d,cal-v1,7e9897570d3b5a28,INCONCLUSIVE,False,2657,10647,0.249554,1179,5246,0.224743,701,3529,0.19864,0.0,0.64,0.219383,1,6,685,247,2023-01-03,2026-07-01,0.021815,-0.052555,-0.051312,-0.046164,0.423358,0.383942,-1,-1,0.0,701,-0.046164,0.75,0.25,4,0.027778,0.103607,0,-0.04779,-0.04425,242,False,0.105263,-0.023616,1.0,0.004975124378109453,685,phase3d-oos-gate-v1,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,phase3d-hfq-adjfactor-v1,v1.1,smx-bazi-native-1.0.0,iztro-2.6.1+smx-1.0.0,huangli-engine-1.0.0,
OOS3D--HYP-HL-CAL-001--ipo_approx_v1,HYP-HL-CAL-001,huangli_calibrated,ipo_approx_v1,calibrated,single,positive,20,phase3-oos-v1,6a059b3dbe54f22d,cal-v1,7e9897570d3b5a28,INCONCLUSIVE,False,2663,10647,0.250117,1004,5246,0.191384,856,3529,0.242562,0.0,0.775591,0.274917,2,8,834,264,2023-01-03,2026-07-01,0.029289,-0.049461,-0.057218,-0.050449,0.396882,0.365707,-1,-1,0.0,856,-0.050449,0.5,0.5,4,0.027863,0.094287,0,-0.05168,-0.048443,254,False,0.129679,-0.022293,1.0,0.004975124378109453,834,phase3d-oos-gate-v1,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,phase3d-hfq-adjfactor-v1,v1.1,smx-bazi-native-1.0.0,iztro-2.6.1+smx-1.0.0,huangli-engine-1.0.0,IPO_APPROXIMATION_WARNING：本结果的出生时间使用 ipo_approx_v1 近似口径（TuShare ipo_date 近似），**不是真实公司成立时间**，不得描述为『真实 IPO 出生时间』。
OOS3D--HYP-CON-BZ-ZW-RAW-001--listing_open_v1,HYP-CON-BZ-ZW-RAW-001,bazi_ziwei_raw,listing_open_v1,raw,all_positive,positive,20,phase3-oos-v1,6a059b3dbe54f22d,cal-v1,7e9897570d3b5a28,INCONCLUSIVE,False,2842,10647,0.26693,1971,5246,0.375715,807,3529,0.228677,0.167315,0.339394,0.039674,0,0,731,171,2023-01-03,2026-08-14,0.00324,-0.056665,-0.020238,-0.018664,0.488372,0.452804,-1,-1,0.0,807,-0.018664,0.25,0.75,4,0.041938,0.152193,0,-0.020335,-0.016518,164,False,0.11611,-0.022554,0.23880597014925373,0.7661691542288557,731,phase3d-oos-gate-v1,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,phase3d-hfq-adjfactor-v1,v1.1,smx-bazi-native-1.0.0,iztro-2.6.1+smx-1.0.0,huangli-engine-1.0.0,
OOS3D--HYP-CON-BZ-ZW-RAW-001--listing_close_v1,HYP-CON-BZ-ZW-RAW-001,bazi_ziwei_raw,listing_close_v1,raw,all_positive,positive,20,phase3-oos-v1,6a059b3dbe54f22d,cal-v1,7e9897570d3b5a28,INCONCLUSIVE,False,3474,10647,0.326289,2323,5246,0.442814,997,3529,0.282516,0.101167,0.396396,0.073578,0,0,906,180,2023-01-03,2026-08-14,0.002949,-0.060083,-0.022194,-0.020987,0.469095,0.443709,-1,-1,0.0,997,-0.020987,0.0,1.0,4,0.028686,0.11897,0,-0.022291,-0.01952,169,False,0.144317,-0.02318,0.31840796019900497,0.6865671641791045,906,phase3d-oos-gate-v1,66939bbca70855226ceb2da52d6bbd6671d91113,phase3a_astockdata_cutoff_20260814,v2-phase3a,phase3d-hfq-adjfactor-v1,v1.1,smx-bazi-native-1.0.0,iztro-2.6.1+smx-1.0.0,huangli-engine-1.0.0,
