neutralization_version,object_id,hypothesis_id,engines,direction_source,logic,expected_direction,birth_model,partition,horizon,is_primary_horizon,eligible_row_count,hit_row_count,hit_share,panel_horizon,panel_sample_count,panel_mean_raw_return,panel_mean_benchmark_return,panel_mean_market_excess_return,panel_median_market_excess_return,panel_std_market_excess_return,panel_market_excess_up_rate,hit_horizon,hit_sample_count,hit_mean_raw_return,hit_mean_benchmark_return,hit_mean_market_excess_return,hit_median_market_excess_return,hit_std_market_excess_return,hit_market_excess_up_rate,pooled_hit_mean_market_excess,hit_date_mean_market_excess,hit_date_t_market_excess,non_hit_pooled_mean_market_excess,long_short_spread,long_short_spread_t,long_short_spread_dates,event_rank_ic_mean,event_rank_ic_t,event_rank_ic_dates,factor_rank_ic_mean,factor_rank_ic_t,factor_rank_ic_dates,factor_rank_ic_source,style_r2_mean,style_dates_used,style_exposure_columns,style_neutral_hit_mean,style_neutral_hit_t,style_neutral_hit_dates,style_neutral_hit_pooled_mean,controlled_hit_coefficient,controlled_hit_coefficient_t,controlled_hit_coefficient_dates,segment_available,segment_neutral_hit_mean,segment_neutral_hit_t,style_explained_share,date_count,stock_count_per_date_mean,stock_count_per_date_min,stock_count_per_date_max,cross_sectional_mean_return,market_return,market_excess_date_mean,market_excess_date_t,hit_dates_count,hit_dates_market_excess,non_hit_dates_count,non_hit_dates_market_excess,hit_vs_non_hit_date_difference,hit_vs_non_hit_date_welch_t,hit_share_slope,hit_share_slope_t,date_binary_split_usable,hit_share_median,above_median_hit_share_date_excess,below_median_hit_share_date_excess,median_split_date_difference,median_split_welch_t,event_rows_vs_dates
phase3e-neutralization-v1,bazi_huangli_raw,HYP-CON-BZ-HL-RAW-001,bazi+huangli,raw,all_positive,positive,listing_close_v1,VALIDATION,5,False,5241,2308,0.440374,5,5241,0.005379,0.012453,-0.007074,-0.001557,0.096511,0.490364,5,2308,-0.00185,0.012838,-0.014688,-0.004716,0.098437,0.461005,-0.01468828,-0.00936119,-0.949012,-0.00108203,-0.00275951,-1.018561,16,-0.0030485,-0.196469,16,,,0,NOT_APPLICABLE_MULTI_ENGINE,0.096236,16,"momentum_60d,momentum_120d,volatility_20d,volatility_60d,size_proxy_log_amount_20d",-0.00202273,-1.168423,15,-0.00051665,-0.00195172,-0.709349,16,True,-0.00304578,-1.782995,0.783924,16,327.56,291,338,0.00582462,0.0124027,-0.00657803,-0.655404,,,,,,,-0.05670957,-1.363863,False,0.405879,-0.01694804,0.00379197,-0.02074001,-1.03572,2308/16
phase3e-neutralization-v1,bazi_huangli_raw,HYP-CON-BZ-HL-RAW-001,bazi+huangli,raw,all_positive,positive,listing_close_v1,VALIDATION,10,False,5231,2303,0.44026,10,5231,-0.008037,0.007498,-0.015535,-0.012141,0.131779,0.42879,10,2303,-0.010092,0.009598,-0.01969,-0.013473,0.138609,0.42119,-0.0196903,-0.01407356,-1.302677,-0.01226717,0.00192686,0.519167,16,0.0157477,1.251579,16,,,0,NOT_APPLICABLE_MULTI_ENGINE,0.080101,16,"momentum_60d,momentum_120d,volatility_20d,volatility_60d,size_proxy_log_amount_20d",0.00151249,0.67734,15,0.00140626,0.00143785,0.325366,16,True,0.00020317,0.085021,1.10747,16,326.94,291,338,-0.00782324,0.00674477,-0.01456796,-1.33038,,,,,,,-0.04769907,-1.024838,False,0.40606,-0.0220488,-0.00708712,-0.01496168,-0.670517,2303/16
phase3e-neutralization-v1,bazi_huangli_raw,HYP-CON-BZ-HL-RAW-001,bazi+huangli,raw,all_positive,positive,listing_close_v1,VALIDATION,20,True,5215,2294,0.439885,20,5215,-0.05227,-0.001267,-0.051002,-0.050577,0.189202,0.334036,20,2294,-0.046509,0.003656,-0.050165,-0.054375,0.193028,0.31735,-0.05016478,-0.04820988,-2.177245,-0.05166013,0.00225824,0.305625,16,0.01963944,1.190663,16,,,0,NOT_APPLICABLE_MULTI_ENGINE,0.131309,16,"momentum_60d,momentum_120d,volatility_20d,volatility_60d,size_proxy_log_amount_20d",0.00035638,0.070162,15,0.00312645,0.00092947,0.12819,16,True,0.00061358,0.135414,1.007392,16,325.94,290,338,-0.05056373,-0.00188724,-0.04867645,-2.452816,,,,,,,-0.02558893,-0.29392,False,0.40606,-0.04807376,-0.04927914,0.00120538,0.029341,2294/16
phase3e-neutralization-v1,bazi_huangli_raw,HYP-CON-BZ-HL-RAW-001,bazi+huangli,raw,all_positive,positive,listing_close_v1,VALIDATION,60,False,5054,2228,0.440839,60,5054,0.016519,0.028772,-0.012253,-0.03133,0.261804,0.421053,60,2228,0.02001,0.019754,0.000256,-0.029849,0.271801,0.425943,0.00025597,0.00511512,0.208496,-0.02211511,0.02008331,1.681551,16,0.01512395,1.141006,16,,,0,NOT_APPLICABLE_MULTI_ENGINE,0.07858,16,"momentum_60d,momentum_120d,volatility_20d,volatility_60d,size_proxy_log_amount_20d",0.00414732,1.455576,14,0.00373703,0.02127114,1.731088,16,True,0.00795795,2.145119,0.189204,16,315.88,288,333,0.01580579,0.02777754,-0.01197173,-0.500604,,,,,,,0.0739076,0.715019,False,0.407012,-0.01226736,-0.01167609,-0.00059127,-0.011943,2228/16
phase3e-neutralization-v1,bazi_huangli_raw,HYP-CON-BZ-HL-RAW-001,bazi+huangli,raw,all_positive,positive,listing_close_v1,OOS,5,False,3348,1444,0.431302,5,3348,-0.023418,-0.014817,-0.008601,-0.010998,0.074931,0.399343,5,1444,-0.03223,-0.020107,-0.012124,-0.012044,0.071925,0.396122,-0.01212365,-0.00794462,-1.369237,-0.00592994,-0.00076734,-0.292104,15,0.00834199,0.527982,15,,,0,NOT_APPLICABLE_MULTI_ENGINE,0.108685,15,"momentum_60d,momentum_120d,volatility_20d,volatility_60d,size_proxy_log_amount_20d",-0.00039537,-0.220843,15,-0.00058581,-0.00056851,-0.213695,15,True,-7.486e-05,-0.0436,0.950234,15,223.2,171,295,-0.02395944,-0.01617936,-0.00777997,-1.519719,,,,,,,-0.02047751,-1.035296,False,0.408397,-0.01485181,-0.00159212,-0.01325969,-1.339485,1444/15
phase3e-neutralization-v1,bazi_huangli_raw,HYP-CON-BZ-HL-RAW-001,bazi+huangli,raw,all_positive,positive,listing_close_v1,OOS,10,False,3330,1432,0.43003,10,3330,-0.025653,-0.005701,-0.019952,-0.019922,0.108888,0.37958,10,1432,-0.036768,-0.008454,-0.028314,-0.022757,0.108109,0.371508,-0.02831395,-0.02091861,-2.100544,-0.01364258,-0.00906391,-1.379094,15,-0.01527045,-0.82844,15,,,0,NOT_APPLICABLE_MULTI_ENGINE,0.110256,15,"momentum_60d,momentum_120d,volatility_20d,volatility_60d,size_proxy_log_amount_20d",-0.00487799,-1.729579,15,-0.00301435,-0.00949908,-1.412986,15,True,-0.00396334,-1.537389,0.766811,15,222.0,168,295,-0.02362089,-0.00700676,-0.01661423,-1.712587,,,,,,,-0.03438,-0.907719,False,0.402344,-0.02442159,-0.00978279,-0.0146388,-0.727299,1432/15
phase3e-neutralization-v1,bazi_huangli_raw,HYP-CON-BZ-HL-RAW-001,bazi+huangli,raw,all_positive,positive,listing_close_v1,OOS,20,True,3293,1415,0.429699,20,3293,-0.023713,-0.00085,-0.022863,-0.012365,0.180478,0.447312,20,1415,-0.042668,-0.001665,-0.041002,-0.023032,0.180496,0.414134,-0.04100236,-0.02301723,-1.460638,-0.00919566,-0.00595291,-0.933721,15,-0.01047774,-0.538495,15,,,0,NOT_APPLICABLE_MULTI_ENGINE,0.199223,15,"momentum_60d,momentum_120d,volatility_20d,volatility_60d,size_proxy_log_amount_20d",-0.00468139,-1.123142,15,-1.644e-05,-0.00336759,-0.499467,15,True,-0.00326238,-0.797744,0.796614,15,219.53,165,292,-0.02096368,-0.00190138,-0.01906227,-1.16701,,,,,,,-0.10206782,-1.719865,False,0.4,-0.04756379,0.00587656,-0.05344035,-1.723616,1415/15
phase3e-neutralization-v1,bazi_huangli_raw,HYP-CON-BZ-HL-RAW-001,bazi+huangli,raw,all_positive,positive,listing_close_v1,OOS,60,False,3007,1233,0.410043,60,3007,-0.018905,-0.003865,-0.01504,-0.030124,0.265493,0.428001,60,1233,-0.04814,4.7e-05,-0.048186,-0.057945,0.250969,0.364964,-0.04818617,-0.00942712,-0.367107,0.00799837,0.00049526,0.032294,14,0.00517174,0.194233,14,,,0,NOT_APPLICABLE_MULTI_ENGINE,0.120839,14,"momentum_60d,momentum_120d,volatility_20d,volatility_60d,size_proxy_log_amount_20d",0.00368186,0.435476,14,0.00063487,0.00400117,0.283153,14,True,0.00569162,0.550735,1.39056,14,214.79,166,288,-0.01552108,-0.00120415,-0.01431683,-0.714789,,,,,,,-0.18569577,-3.038554,False,0.363868,-0.04440896,0.01577531,-0.06018427,-1.587873,1233/14
phase3e-neutralization-v1,bazi_huangli_raw,HYP-CON-BZ-HL-RAW-001,bazi+huangli,raw,all_positive,positive,listing_open_v1,TRAIN,5,False,10646,4787,0.449652,5,10646,0.001974,0.002504,-0.00053,-0.004597,0.12074,0.458294,5,4787,0.002142,0.000355,0.001788,-0.004558,0.11685,0.460414,0.00178764,-0.00515588,-0.728732,-0.00242367,-0.0103152,-3.414718,36,-0.01959244,-1.825291,36,,,0,NOT_APPLICABLE_MULTI_ENGINE,0.068239,36,"momentum_60d,momentum_120d,volatility_20d,volatility_60d,size_proxy_log_amount_20d",-0.00556075,-3.175121,35,-0.00302732,-0.01194218,-3.809004,36,True,-0.00563799,-2.884884,-0.078526,36,295.72,223,341,0.00357558,0.00307033,0.00050528,0.07151,,,,,,,0.02503127,1.070026,False,0.378525,0.00383045,-0.00281989,0.00665034,0.465299,4787/36
phase3e-neutralization-v1,bazi_huangli_raw,HYP-CON-BZ-HL-RAW-001,bazi+huangli,raw,all_positive,positive,listing_open_v1,TRAIN,10,False,10641,4784,0.449582,10,10641,0.00375,0.006531,-0.002781,-0.011852,0.167252,0.432948,10,4784,0.004156,0.006518,-0.002361,-0.012481,0.165642,0.428512,-0.00236147,-0.00673289,-0.728168,-0.00312453,-0.01536185,-2.6555,36,-0.00924603,-0.98274,36,,,0,NOT_APPLICABLE_MULTI_ENGINE,0.076413,36,"momentum_60d,momentum_120d,volatility_20d,volatility_60d,size_proxy_log_amount_20d",-0.00659342,-3.007128,35,-0.00433354,-0.01771247,-2.850525,36,True,-0.00691395,-2.881719,0.020715,36,295.58,222,341,0.00621333,0.00677181,-0.00055846,-0.060909,,,,,,,0.0187075,0.609573,False,0.377468,-0.00390632,0.0027894,-0.00669572,-0.360575,4784/36
