model,factor_id,engine,n,mean,std,min,max,unique_ratio,is_constant,rule_score_mean,rule_score_std
ipo_approx_v1,B_YEAR_007,bazi,500,0.1290,0.2426,0.0000,1.0000,0.0060,False,1.2900,2.4261
ipo_approx_v1,B_YEAR_008,bazi,500,0.1530,0.2609,0.0000,1.0000,0.0060,False,1.5300,2.6094
ipo_approx_v1,B_YEAR_009,bazi,500,0.1960,0.8565,-1.0000,1.0000,0.0060,False,7.7200,4.1954
ipo_approx_v1,B_YEAR_010,bazi,500,0.0420,0.2006,0.0000,1.0000,0.0040,False,0.4200,2.0059
ipo_approx_v1,Z_AGE_001,ziwei,500,0.4367,0.3085,-0.1325,0.8435,0.0280,False,4.5696,2.7762
ipo_approx_v1,Z_AGE_002,ziwei,500,-0.3260,0.3560,-1.0000,0.0000,0.0060,False,2.6080,2.8479
ipo_approx_v1,Z_CAREER_001,ziwei,500,0.3668,0.3315,-0.2605,0.8701,0.0420,False,4.0481,2.8390
ipo_approx_v1,Z_CAREER_002,ziwei,500,0.5770,0.3429,0.0000,1.0000,0.0060,False,2.8850,1.7144
ipo_approx_v1,Z_CAREER_003,ziwei,500,-0.2440,0.3024,-1.0000,0.0000,0.0060,False,1.9520,2.4194
ipo_approx_v1,Z_CAREER_004,ziwei,500,0.1720,0.3774,0.0000,1.0000,0.0040,False,1.3760,3.0190
ipo_approx_v1,Z_DAY_001,ziwei,500,-0.0615,0.6552,-1.0000,1.0000,0.0240,False,2.8748,1.6014
ipo_approx_v1,Z_DAY_002,ziwei,500,0.3906,0.3402,-0.2605,0.8701,0.0420,False,4.2361,2.9811
ipo_approx_v1,Z_DAY_003,ziwei,500,-0.1587,0.2101,-1.0000,0.0000,0.0080,False,1.2694,1.6812
ipo_approx_v1,Z_DAY_004,ziwei,500,-0.0400,0.6643,-1.0000,1.0000,0.0240,False,2.9802,1.4805
ipo_approx_v1,Z_DAY_005,ziwei,500,0.0938,0.6657,-1.0000,1.0000,0.0240,False,2.9711,1.5719
ipo_approx_v1,Z_DECADE_001,ziwei,500,0.4187,0.3243,-0.2605,0.8701,0.0420,False,4.4657,2.8478
ipo_approx_v1,Z_DECADE_002,ziwei,500,-0.2530,0.2958,-1.0000,0.0000,0.0060,False,2.0240,2.3663
ipo_approx_v1,Z_FIN_001,ziwei,500,0.4115,0.3210,-0.2605,0.8701,0.0420,False,4.2988,2.9599
ipo_approx_v1,Z_FIN_002,ziwei,500,0.5630,0.3557,0.0000,1.0000,0.0060,False,2.8150,1.7786
ipo_approx_v1,Z_FIN_003,ziwei,500,-0.2320,0.2832,-1.0000,0.0000,0.0060,False,1.8560,2.2652
ipo_approx_v1,Z_FIN_004,ziwei,500,0.1820,0.3858,0.0000,1.0000,0.0040,False,1.4560,3.0868
ipo_approx_v1,Z_LIFE_001,ziwei,500,0.4094,0.3306,-0.2605,0.8701,0.0420,False,4.4106,2.8699
ipo_approx_v1,Z_LIFE_002,ziwei,500,0.5980,0.3382,0.0000,1.0000,0.0060,False,2.9900,1.6911
ipo_approx_v1,Z_LIFE_003,ziwei,500,0.1527,0.2181,0.0000,0.6667,0.0060,False,1.2214,1.7451
ipo_approx_v1,Z_LIFE_004,ziwei,500,-0.2630,0.3245,-1.0000,0.0000,0.0060,False,2.1040,2.5964
ipo_approx_v1,Z_LIFE_005,ziwei,500,-0.0335,0.4331,-0.9051,0.7616,0.0120,False,2.6231,2.2799
ipo_approx_v1,Z_LIFE_006,ziwei,500,0.0000,0.0000,0.0000,0.0000,0.0020,True,0.0000,0.0000
ipo_approx_v1,Z_LIFE_007,ziwei,500,-0.0590,0.6819,-1.0000,1.0000,0.0100,False,2.8750,1.8566
ipo_approx_v1,Z_MONTH_001,ziwei,500,0.0491,0.6580,-1.0000,1.0000,0.0240,False,2.8602,1.6444
ipo_approx_v1,Z_MONTH_002,ziwei,500,0.4275,0.3272,-0.2605,0.8701,0.0400,False,4.5524,2.8731
ipo_approx_v1,Z_MONTH_003,ziwei,500,-0.1473,0.1940,-1.0000,0.0000,0.0080,False,1.1788,1.5519
ipo_approx_v1,Z_MONTH_004,ziwei,500,0.0938,0.6657,-1.0000,1.0000,0.0240,False,2.9711,1.5719
ipo_approx_v1,Z_MONTH_005,ziwei,500,0.1025,0.5863,-1.0000,1.0000,0.0240,False,2.5657,1.5086
