hypothesis_id,birth_model,partition,direction_source,year,event_count,mean_excess_return,up_rate,direction
HYP-HL-RAW-001,ipo_approx_v1,OOS,raw,2023,236,-0.012877,0.377119,-1
HYP-HL-RAW-001,ipo_approx_v1,OOS,raw,2024,550,-0.096607,0.245455,-1
HYP-HL-RAW-001,ipo_approx_v1,OOS,raw,2025,466,-0.007015,0.497854,-1
HYP-HL-RAW-001,ipo_approx_v1,OOS,raw,2026,207,0.004744,0.584541,1
HYP-HL-CAL-001,listing_open_v1,OOS,calibrated,2023,137,-0.00489,0.423358,-1
HYP-HL-CAL-001,listing_open_v1,OOS,calibrated,2024,368,-0.110426,0.206522,-1
HYP-HL-CAL-001,listing_open_v1,OOS,calibrated,2025,232,-0.009783,0.517241,-1
HYP-HL-CAL-001,listing_open_v1,OOS,calibrated,2026,100,0.034511,0.66,1
HYP-HL-CAL-001,listing_close_v1,OOS,calibrated,2023,52,0.008209,0.403846,1
HYP-HL-CAL-001,listing_close_v1,OOS,calibrated,2024,315,-0.111995,0.215873,-1
HYP-HL-CAL-001,listing_close_v1,OOS,calibrated,2025,207,0.009425,0.531401,1
HYP-HL-CAL-001,listing_close_v1,OOS,calibrated,2026,111,0.011514,0.576577,1
HYP-HL-CAL-001,ipo_approx_v1,OOS,calibrated,2023,141,-0.01775,0.35461,-1
HYP-HL-CAL-001,ipo_approx_v1,OOS,calibrated,2024,366,-0.114182,0.202186,-1
HYP-HL-CAL-001,ipo_approx_v1,OOS,calibrated,2025,232,0.005332,0.525862,1
HYP-HL-CAL-001,ipo_approx_v1,OOS,calibrated,2026,95,0.010341,0.621053,1
HYP-CON-BZ-ZW-RAW-001,listing_open_v1,OOS,raw,2023,226,-0.027916,0.473451,-1
HYP-CON-BZ-ZW-RAW-001,listing_open_v1,OOS,raw,2024,198,-0.033347,0.373737,-1
HYP-CON-BZ-ZW-RAW-001,listing_open_v1,OOS,raw,2025,182,-0.01555,0.434066,-1
HYP-CON-BZ-ZW-RAW-001,listing_open_v1,OOS,raw,2026,125,0.016784,0.568,1
HYP-CON-BZ-ZW-RAW-001,listing_close_v1,OOS,raw,2023,239,-0.028634,0.435146,-1
HYP-CON-BZ-ZW-RAW-001,listing_close_v1,OOS,raw,2024,278,-0.032119,0.395683,-1
HYP-CON-BZ-ZW-RAW-001,listing_close_v1,OOS,raw,2025,223,-0.007094,0.443946,-1
HYP-CON-BZ-ZW-RAW-001,listing_close_v1,OOS,raw,2026,166,-0.009999,0.536145,-1
HYP-CON-BZ-ZW-RAW-001,ipo_approx_v1,OOS,raw,2023,237,-0.002473,0.489451,-1
HYP-CON-BZ-ZW-RAW-001,ipo_approx_v1,OOS,raw,2024,230,-0.031851,0.36087,-1
HYP-CON-BZ-ZW-RAW-001,ipo_approx_v1,OOS,raw,2025,225,-0.01978,0.448889,-1
HYP-CON-BZ-ZW-RAW-001,ipo_approx_v1,OOS,raw,2026,156,0.00861,0.525641,1
HYP-CON-BZ-ZW-CAL-001,listing_open_v1,OOS,calibrated,2023,39,-0.042635,0.461538,-1
HYP-CON-BZ-ZW-CAL-001,listing_open_v1,OOS,calibrated,2024,51,-0.068124,0.27451,-1
HYP-CON-BZ-ZW-CAL-001,listing_open_v1,OOS,calibrated,2025,50,-0.021878,0.5,-1
HYP-CON-BZ-ZW-CAL-001,listing_open_v1,OOS,calibrated,2026,35,0.006484,0.457143,1
