hypothesis_id,birth_model,rank_within_experiment,stock_code,event_count,sum_excess_return,mean_excess_return,abs_mass_share,share_of_total
HYP-CON-ZW-HL-CAL-001,listing_open_v1,15,002912,3,0.298731,0.099577,0.01662,-0.040561
HYP-CON-ZW-HL-CAL-001,listing_open_v1,16,603032,1,-0.295767,-0.295767,0.016456,0.040158
HYP-CON-ZW-HL-CAL-001,listing_open_v1,17,002773,2,-0.295084,-0.147542,0.016418,0.040066
HYP-CON-ZW-HL-CAL-001,listing_open_v1,18,000996,1,-0.289273,-0.289273,0.016094,0.039277
HYP-CON-ZW-HL-CAL-001,listing_open_v1,19,603186,1,0.285157,0.285157,0.015865,-0.038718
HYP-CON-ZW-HL-CAL-001,listing_open_v1,20,600599,2,-0.278716,-0.139358,0.015507,0.037843
HYP-CON-ZW-HL-CAL-001,listing_close_v1,1,300630,2,-1.025777,-0.512889,0.077196,0.140033
HYP-CON-ZW-HL-CAL-001,listing_close_v1,2,300742,2,-0.873075,-0.436538,0.065704,0.119187
HYP-CON-ZW-HL-CAL-001,listing_close_v1,3,300495,2,-0.842041,-0.421021,0.063369,0.11495
HYP-CON-ZW-HL-CAL-001,listing_close_v1,4,300219,4,-0.628685,-0.157171,0.047313,0.085824
HYP-CON-ZW-HL-CAL-001,listing_close_v1,5,000823,3,-0.60766,-0.202553,0.04573,0.082954
HYP-CON-ZW-HL-CAL-001,listing_close_v1,6,600836,2,-0.560897,-0.280448,0.042211,0.07657
HYP-CON-ZW-HL-CAL-001,listing_close_v1,7,300208,1,-0.519814,-0.519814,0.039119,0.070962
HYP-CON-ZW-HL-CAL-001,listing_close_v1,8,600262,7,0.480949,0.068707,0.036194,-0.065656
HYP-CON-ZW-HL-CAL-001,listing_close_v1,9,300068,2,-0.471632,-0.235816,0.035493,0.064384
HYP-CON-ZW-HL-CAL-001,listing_close_v1,10,000971,1,-0.390292,-0.390292,0.029372,0.05328
HYP-CON-ZW-HL-CAL-001,listing_close_v1,11,688131,5,-0.385997,-0.077199,0.029049,0.052694
HYP-CON-ZW-HL-CAL-001,listing_close_v1,12,000040,2,-0.311727,-0.155863,0.023459,0.042555
HYP-CON-ZW-HL-CAL-001,listing_close_v1,13,000807,1,0.290939,0.290939,0.021895,-0.039717
HYP-CON-ZW-HL-CAL-001,listing_close_v1,14,600898,1,-0.289226,-0.289226,0.021766,0.039483
HYP-CON-ZW-HL-CAL-001,listing_close_v1,15,300116,1,0.285626,0.285626,0.021495,-0.038992
HYP-CON-ZW-HL-CAL-001,listing_close_v1,16,603931,4,0.251595,0.062899,0.018934,-0.034346
HYP-CON-ZW-HL-CAL-001,listing_close_v1,17,300188,2,0.24183,0.120915,0.018199,-0.033013
HYP-CON-ZW-HL-CAL-001,listing_close_v1,18,600811,2,-0.241438,-0.120719,0.01817,0.03296
HYP-CON-ZW-HL-CAL-001,listing_close_v1,19,002610,2,-0.22486,-0.11243,0.016922,0.030697
HYP-CON-ZW-HL-CAL-001,listing_close_v1,20,300551,3,-0.222734,-0.074245,0.016762,0.030406
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,1,300630,4,-1.182085,-0.295521,0.05944,0.120268
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,2,600766,2,-1.034668,-0.517334,0.052027,0.105269
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,3,300282,1,-0.766394,-0.766394,0.038537,0.077974
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,4,600696,3,-0.665764,-0.221921,0.033477,0.067736
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,5,300652,5,0.655491,0.131098,0.032961,-0.066691
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,6,688418,4,-0.60768,-0.15192,0.030556,0.061827
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,7,688589,4,-0.574523,-0.143631,0.028889,0.058453
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,8,300709,3,-0.556963,-0.185654,0.028006,0.056667
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,9,002325,2,-0.437171,-0.218585,0.021983,0.044479
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,10,605188,3,0.427458,0.142486,0.021494,-0.04349
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,11,002846,5,-0.421928,-0.084386,0.021216,0.042928
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,12,300799,1,-0.418751,-0.418751,0.021056,0.042605
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,13,688578,1,0.406929,0.406929,0.020462,-0.041402
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,14,300054,2,-0.398043,-0.199022,0.020015,0.040498
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,15,300280,1,-0.393086,-0.393086,0.019766,0.039993
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,16,688689,4,-0.388159,-0.09704,0.019518,0.039492
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,17,300576,3,-0.380005,-0.126668,0.019108,0.038662
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,18,300551,1,-0.338408,-0.338408,0.017016,0.03443
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,19,002881,2,-0.334367,-0.167183,0.016813,0.034019
HYP-CON-ZW-HL-CAL-001,ipo_approx_v1,20,603032,2,-0.326744,-0.163372,0.01643,0.033244
HYP-CON-ALL3-RAW-001,listing_open_v1,1,002272,1,1.170362,1.170362,0.045314,-0.115553
HYP-CON-ALL3-RAW-001,listing_open_v1,2,603388,6,-1.054596,-0.175766,0.040832,0.104123
HYP-CON-ALL3-RAW-001,listing_open_v1,3,600766,2,-1.034351,-0.517176,0.040048,0.102125
HYP-CON-ALL3-RAW-001,listing_open_v1,4,300089,2,-0.866884,-0.433442,0.033564,0.08559
HYP-CON-ALL3-RAW-001,listing_open_v1,5,688689,4,-0.71004,-0.17751,0.027491,0.070104
HYP-CON-ALL3-RAW-001,listing_open_v1,6,002750,3,-0.692294,-0.230765,0.026804,0.068352
HYP-CON-ALL3-RAW-001,listing_open_v1,7,002336,2,-0.680631,-0.340315,0.026353,0.067201
HYP-CON-ALL3-RAW-001,listing_open_v1,8,000622,4,-0.671792,-0.167948,0.026011,0.066328
HYP-CON-ALL3-RAW-001,listing_open_v1,9,300551,5,-0.648866,-0.129773,0.025123,0.064064
HYP-CON-ALL3-RAW-001,listing_open_v1,10,600112,3,-0.511046,-0.170349,0.019787,0.050457
HYP-CON-ALL3-RAW-001,listing_open_v1,11,600898,2,-0.498462,-0.249231,0.0193,0.049215
HYP-CON-ALL3-RAW-001,listing_open_v1,12,600696,3,-0.452581,-0.15086,0.017523,0.044685
HYP-CON-ALL3-RAW-001,listing_open_v1,13,600262,4,0.441137,0.110284,0.01708,-0.043555
HYP-CON-ALL3-RAW-001,listing_open_v1,14,300054,6,-0.439113,-0.073186,0.017002,0.043355
HYP-CON-ALL3-RAW-001,listing_open_v1,15,002308,2,-0.438758,-0.219379,0.016988,0.04332
HYP-CON-ALL3-RAW-001,listing_open_v1,16,603668,5,-0.416757,-0.083351,0.016136,0.041148
HYP-CON-ALL3-RAW-001,listing_open_v1,17,002003,4,0.413718,0.103429,0.016018,-0.040848
HYP-CON-ALL3-RAW-001,listing_open_v1,18,688578,1,0.406929,0.406929,0.015756,-0.040177
HYP-CON-ALL3-RAW-001,listing_open_v1,19,688589,3,-0.367181,-0.122394,0.014217,0.036253
HYP-CON-ALL3-RAW-001,listing_open_v1,20,003013,6,0.363586,0.060598,0.014077,-0.035898
HYP-CON-ALL3-RAW-001,listing_close_v1,1,605081,4,-1.324669,-0.331167,0.047058,0.080148
HYP-CON-ALL3-RAW-001,listing_close_v1,2,300630,3,-1.089462,-0.363154,0.038702,0.065917
HYP-CON-ALL3-RAW-001,listing_close_v1,3,300742,3,-0.957074,-0.319025,0.033999,0.057907
HYP-CON-ALL3-RAW-001,listing_close_v1,4,300495,2,-0.842041,-0.421021,0.029913,0.050947
HYP-CON-ALL3-RAW-001,listing_close_v1,5,300068,8,-0.814815,-0.101852,0.028945,0.0493
HYP-CON-ALL3-RAW-001,listing_close_v1,6,600647,2,-0.786989,-0.393494,0.027957,0.047616
HYP-CON-ALL3-RAW-001,listing_close_v1,7,300219,11,-0.749984,-0.06818,0.026642,0.045377
HYP-CON-ALL3-RAW-001,listing_close_v1,8,300208,5,-0.714211,-0.142842,0.025372,0.043213
HYP-CON-ALL3-RAW-001,listing_close_v1,9,600083,2,-0.665777,-0.332889,0.023651,0.040282
HYP-CON-ALL3-RAW-001,listing_close_v1,10,301041,7,-0.640333,-0.091476,0.022747,0.038743
HYP-CON-ALL3-RAW-001,listing_close_v1,11,000823,6,-0.605588,-0.100931,0.021513,0.036641
HYP-CON-ALL3-RAW-001,listing_close_v1,12,600898,3,-0.577203,-0.192401,0.020505,0.034923
HYP-CON-ALL3-RAW-001,listing_close_v1,13,600836,2,-0.560897,-0.280448,0.019925,0.033937
HYP-CON-ALL3-RAW-001,listing_close_v1,14,688689,4,-0.545848,-0.136462,0.019391,0.033026
HYP-CON-ALL3-RAW-001,listing_close_v1,15,300391,3,-0.540567,-0.180189,0.019203,0.032707
HYP-CON-ALL3-RAW-001,listing_close_v1,16,000807,3,0.487423,0.162474,0.017315,-0.029491
HYP-CON-ALL3-RAW-001,listing_close_v1,17,600262,8,0.461603,0.0577,0.016398,-0.027929
HYP-CON-ALL3-RAW-001,listing_close_v1,18,300551,8,0.380174,0.047522,0.013505,-0.023002
HYP-CON-ALL3-RAW-001,listing_close_v1,19,002665,2,-0.376623,-0.188312,0.013379,0.022787
HYP-CON-ALL3-RAW-001,listing_close_v1,20,600781,1,-0.366109,-0.366109,0.013006,0.022151
HYP-CON-ALL3-RAW-001,ipo_approx_v1,1,300652,7,1.105159,0.15788,0.035781,-0.117548
HYP-CON-ALL3-RAW-001,ipo_approx_v1,2,600766,2,-1.034668,-0.517334,0.033499,0.110051
HYP-CON-ALL3-RAW-001,ipo_approx_v1,3,600811,5,0.966469,0.193294,0.031291,-0.102797
HYP-CON-ALL3-RAW-001,ipo_approx_v1,4,601127,6,0.955466,0.159244,0.030934,-0.101626
HYP-CON-ALL3-RAW-001,ipo_approx_v1,5,601168,8,0.866555,0.108319,0.028056,-0.09217
HYP-CON-ALL3-RAW-001,ipo_approx_v1,6,605188,4,0.770975,0.192744,0.024961,-0.082003
HYP-CON-ALL3-RAW-001,ipo_approx_v1,7,300282,1,-0.766394,-0.766394,0.024813,0.081516
HYP-CON-ALL3-RAW-001,ipo_approx_v1,8,688578,3,0.741111,0.247037,0.023994,-0.078827
HYP-CON-ALL3-RAW-001,ipo_approx_v1,9,688589,5,-0.715478,-0.143096,0.023165,0.076101
HYP-CON-ALL3-RAW-001,ipo_approx_v1,10,603388,2,-0.708203,-0.354101,0.022929,0.075327
HYP-CON-ALL3-RAW-001,ipo_approx_v1,11,600696,3,-0.665764,-0.221921,0.021555,0.070813
HYP-CON-ALL3-RAW-001,ipo_approx_v1,12,300344,2,-0.653762,-0.326881,0.021166,0.069536
HYP-CON-ALL3-RAW-001,ipo_approx_v1,13,688418,5,-0.648257,-0.129651,0.020988,0.068951
